RespondentID,Feedback,Sentiment
50,"Love the aroma, not a fan of the aftertaste. 😍",Neutral
51,Best coffee I've had in a while,Positive
52,10/10 ❤️ 👍,Positive
53,My morning feels incomplete without it 😋,Positive
54,Packaging could be better. ❤️,Negative
55,Bit disappointed. Would love a decaf version.,Neutral
56,Didn't enjoy the aftertaste. Not bad at all tbh. 🤔,Neutral
57,Very balanced flavour. ngl I expected more. 😍,Neutral
58,Way too expensive.,Negative
59,Really enjoying Coffee X,Positive
60,Very balanced flavour. Please introduce more roast options.,Positive
61,Worth every penny. Please introduce more roast options.,Positive
62,Really enjoying Coffee X. Would love a decaf version. 👌,Positive
63,Love this coffe Not bad at all tbh.,Positive
64,"Love the aroma, not a fan of the aftertaste. I drink it every morning.",Neutral
65,Amazing 😍,Positive
66,Packaging looks premium but freshness could improve. 😋,Neutral
67,Worth every penny. Hope you keep the qualty consistent.,Positive
68,Best coffee I've had in a while. Would love a decaf version. 👎,Positive
69,Really enjoying coffe X.,Positive
70,Works great with milk but black coffee isn't my favourite. Please introduce more roast options.,Neutral
71,Very balanced flavour. I drink it every morning. 👎,Positive
72,"Love the aroma, not a fan of the aftertaste.",Neutral
73,Amazing aroma. Would recommend it to friends.,Positive
74,Works gr8 with milk but black coffee isn't my favourite. Hope you keep the quality consistent. 👌,Neutral
75,"Love the aroma, not a fan of the aftertaste. Customer service was great too.",Neutral
76,Love this coffee 👎,Positive
77,Expected better. 🤔,Negative
78,The beans smell fantastic. imo it's one of the better brands.,Positive
79,Taste is nice but it's a bit pricey.,Neutral
80,Very balanced flavour. Would recommend it to friends. 👍,Positive
81,Yumm 😋,Positive
82,Packaging looks premium but freshness could improve. Would love a decaf version. 😕,Neutral
83,10/10 ❤️,Positive
84,Taste is nice but it's a bit pricey. I drink it every morning. ☕,Neutral
85,Didn't enjoy the aftertaste,Negative
86,Love this coffee. Please introduce more roast options. 😅,Positive
87,Taste is nice but it's a bit pricey. Not bad at all tbh.,Neutral
88,Best coffee I've had in a while. I drink it every morning.,Positive
89,Taste is kinda weak. Hope you keep the qualty consistent.,Neutral
90,Amazing aroma. ngl I expected more. 😕,Neutral
91,Taste is nice but it's a bit pricey. ngl I expected more.,Neutral
92,Amazing aroma. ngl I expected more. 🤔,Neutral
93,Amazing aroma. imo it's one of the better brands. ☕,Positive
94,It's okay.,Neutral
95,The beans smell fantastic,Positive
96,Really enjoying Coffee X.,Positive
97,Wouldn't buy again,Negative
98,Too expensive 😕,Negative
99,realy enjoying Coffee X. Please introduce more roast options.,Positive
100,Expected better. Not bad at all tbh. ☕,Neutral
101,Worth every penny. I drink it every morning.,Positive
102,Really enjoying Coffee X. Would love a decaf version.,Positive
103,The beans smell fantastic. Would recommend it to friends. ☕,Positive
104,Packaging could be better. Delivery was really fast. 👌,Neutral
105,Expected better.,Negative
106,I'll definitely buy again. I drink it every morning.,Positive
107,Really enjoying Coffee X. ngl I expected more.,Neutral
108,Very balanced flavour. I drink it every morning.,Positive
109,My morning feels incomplete without it,Positive
110,Very balanced flavour. Would recommend it to friends.,Positive
111,Taste is nice but it's a bit pricey. 😊,Neutral
112,Best coffee I've had in a while. imo it's one of the better brands.,Positive
113,I'll definitely buy again. 😋,Positive
114,Taste is kinda weak. ngl I expected more.,Negative
115,Amazing aroma. Delivery was really fast.,Positive
116,My morning feels incomplete without it. Customer service was great too. 😍,Positive
117,Not as fresh as expected 😋,Negative
118,Meh. 😍,Negative
119,I'll definitely buy again,Positive
120,Worth every penny,Positive
121,Too bitter for me,Negative
122,Could be better.,Negative
123,Taste is kinda weak.,Negative
124,Taste is nice but it's a bit pricey. Delivery was really fast.,Neutral
125,Amazing aroma. Hope you keep the quality consistent.,Positive
126,Packaging looks premium but freshness could improve. 😅,Neutral
127,Amazing aroma. Please introduce more roast options.,Positive
128,Really enjoying Coffee X. Hope you keep the quality consistent.,Positive
129,My morning feels incomplete without it 😊,Positive
130,realy enjoying Coffee X. Not bad at all tbh.,Positive
131,Really enjoying Coffee X. ❤️,Positive
132,Packaging looks premium but freshness could improve. Would love a decaf version.,Neutral
133,The beans smell fantastic. Please introduce more roast options.,Positive
134,Amazing aroma. Please introduce more roast options. 😍,Positive
135,Taste is kinda weak 😍,Negative
136,Taste is nice but it's a bit pricey. 👍,Neutral
137,Works gr8 with milk but black coffee isn't my favourite. I drink it every morning.,Neutral
138,Works great with milk but black coffee isn't my favourite. Not bad at all tbh.,Neutral
139,Pretty good overall although I expected a stronger roast. imo it's one of the better brands.,Neutral
140,Best coffee I've had in a while. 😋,Positive
141,Super smooth taste. I drink it every morning.,Positive
142,Best coffee I've had in a while. Customer service was gr8 too.,Positive
143,The beans smell fantastic. Delivery was really fast.,Positive
144,Love this coffe Would recommend it to friends.,Positive
145,Very balanced flavour 👌,Positive
146,Packaging looks premium but freshness could improve. Delivery was really fast.,Neutral
147,I'll definitely buy again. Customer service was great too.,Positive
148,Very balanced flavour. ☕,Positive
149,Packaging looks premium but freshness could improve. imo it's one of the better brands. 😕,Neutral
150,Super smooth taste. Hope you keep the quality consistent.,Positive
151,realy enjoying Coffee X. Customer service was great too. 🤔,Positive
152,Packaging looks premium but freshness could improve. Hope you keep the quality consistent. 👌,Neutral
153,Expected better. Hope you keep the quality consistent.,Negative
154,Taste is kinda weak. Would love a decaf version. 😕,Negative
155,Very balanced flavour. ngl I expected more. ☕,Negative
156,Love it ☕,Positive
157,Packaging looks premium but freshness could improve. Not bad at all tbh.,Neutral
158,Works great with milk but black coffee isn't my favourite. Would love a decaf version.,Neutral
159,Very balanced flavour. Delivery was really fast.,Positive
160,Not as fresh as expected. Customer service was great too. 😋,Neutral
161,Not as fresh as expected. Customer service was great too.,Neutral
162,The beans smell fantastic. Not bad at all tbh. 👎,Neutral
163,My morning feels incomplete without it. 😋,Positive
164,Expected better. 😅,Negative
165,I'll definitely buy again. Not bad at all tbh.,Positive
166,Way too expensive. Delivery was really fast. ☕,Neutral
167,Very balanced flavour. 😕,Positive
168,Pretty good overall although I expected a stronger roast. ngl I expected more. 🤔,Neutral
169,Really enjoying Coffee X. Would recommend it to friends.,Positive
170,Very balanced flavour. Not bad at all tbh.,Positive
171,Too bitter for me. Would recommend it to friends.,Neutral
172,The beans smell fantastic.,Positive
173,Worth every penny. 🤔,Positive
174,Works great with milk but black coffee isn't my favourite.,Neutral
175,Taste is kinda weak. Would reccomend it to friends.,Neutral
176,Worth every penny.,Positive
177,Works great with milk but black coffee isn't my favourite. 😍,Neutral
178,Super smooth taste 😋,Positive
179,Way too expensive. Hope you keep the quality consistent.,Neutral
180,Bit disappointed,Negative
181,Packaging could be better,Negative
182,Taste is nice but it's a bit pricey. Delivery was really fast. 😕,Neutral
183,"Love the aroma, not a fan of the aftertaste. Not bad at all tbh. 😍",Neutral
184,Worth every penny. Hope you keep the quality consistent.,Neutral
185,Bit disappointed. Would love a decaf version. ☕,Neutral
186,My morning feels incomplete without it. Would love a decaf version.,Positive
187,Didn't enjoy the aftertaste. imo it's one of the better brands.,Neutral
188,Best coffee I've had in a while. Please introduce more roast options.,Positive
189,Works great with milk but black coffee isn't my favourite. Customer service was gr8 too.,Neutral
190,Way too expensive. ngl I expected more.,Neutral
191,Really enjoying Coffee X. Not bad at all tbh. 😕,Positive
192,Expected better. Not bad at all tbh.,Neutral
193,Yumm 😋 🤔,Positive
194,Really enjoying Coffee X. Hope you keep the quality consistent. 😅,Positive
195,Works great with milk but black coffee isn't my favourite. Not bad at all tbh. 😍,Neutral
196,Didn't enjoy the aftertaste 😋,Negative
197,Amazing aroma. Delivery was rly fast. 😅,Positive
198,Best coffee I've had in a while.,Positive
199,Taste is kinda weak. Hope you keep the quality consistent. ❤️,Neutral
200,Wouldn't buy again. ❤️,Positive
201,Works great with milk but black coffee isn't my favourite. 😅,Neutral
202,Worth every penny. Delivery was realy fast. ❤️,Positive
203,Packaging looks premium but freshness could improve. Not bad at all tbh. 👎,Neutral
204,"Love the aroma, not a fan of the aftertaste. 🤔",Neutral
205,Best cofee I've had in a while. 👍,Positive
206,Way too expensive. Hope you keep the quality consistent. 😊,Neutral
207,"Love the aroma, not a fan of the aftertaste. Hope you keep the quality consistent.",Neutral
208,Love this coffee 😕,Positive
209,My morning feels incomplete without it.,Positive
210,Super smooth taste,Positive
211,Very balanced flavour. Would love a decaf version. 🤔,Positive
212,cofee arrived stale. imo it's one of the better brands.,Neutral
213,Amazing 😍 😋,Positive
214,Super smooth taste. Would love a decaf version. 👍,Positive
215,"Love the aroma, not a fan of the aftertaste. Hope you keep the qualty consistent. 😋",Neutral
216,Expected better. imo it's one of the better brands.,Neutral
217,Works gr8 with milk but black coffee isn't my favourite. Customer service was great too.,Neutral
218,Super smooth taste. Please introduce more roast options. 😕,Positive
219,I'll definately buy again ❤️,Positive
220,Coffee arrived stale. Would love a decaf version.,Neutral
221,Best coffee I've had in a while. Customer service was great too.,Positive
222,Packaging looks premium but freshness could improve. Customer service was great too.,Neutral
223,Amazing aroma. Delivery was really fast. 😅,Positive
224,Super smooth taste. Hope you keep the quality consistent. 😋,Positive
225,I'll definitely buy again. Customer service was great too. 😊,Positive
226,Very balanced flavour,Positive
227,Didn't enjoy the aftertaste.,Negative
228,Expected better. I drink it every morning. 😊,Neutral
229,Taste is kinda weak. 😅,Negative
230,Packaging could be better. Hope you keep the quality consistent.,Neutral
231,Really enjoying Coffee X. Please introduce more roast options.,Positive
232,Too bitter for me. imo it's one of the better brands.,Neutral
233,Best cofee I've had in a while. Customer service was gr8 too.,Positive
234,Wouldn't buy again. Not bad at all tbh.,Neutral
235,Super smooth taste. Would recommend it to friends.,Positive
236,I'll definetly buy again,Positive
237,The beans smell fantastic. Delivery was really fast. 👎,Positive
238,Pretty good!,Positive
239,Taste is nice but it's a bit pricey. Not bad at all tbh. 😕,Neutral
240,Amazing aroma. ngl I expected more.,Neutral
241,Packaging could be better. imo it's one of the better brands.,Neutral
242,Not as fresh as expected. imo it's one of the better brands.,Neutral
243,Very balanced flavour. Would love a decaf version. ❤️,Positive
244,Amazing aroma,Positive
245,Pretty good overall although I expected a stronger roast. Not bad at all tbh.,Neutral
246,I'll definitely buy again. Would recommend it to friends.,Positive
247,Could be better. 😍,Negative
248,I'll definitely buy again.,Positive
249,"Love the aroma, not a fan of the aftertaste. 😕",Neutral
250,Super smooth taste 😍,Positive
