RespondentID,Feedback,clean_feedback
45,Works great with milk but black coffe isn't my favourite. Delivery was really fast.,works great with milk but black coffe isnt my favourite delivery was really fast
46,Worth every penny. Hope you keep the quality consistent. 😅,worth every penny hope you keep the quality consistent
47,I'll definitely buy again. Customer service was great too.,ill definitely buy again customer service was great too
48,"Love the aroma, not a fan of the aftertaste. Hope you keep the quality consistent.",love the aroma not a fan of the aftertaste hope you keep the quality consistent
49,Too bitter for me. Hope you keep the qualty consistent.,too bitter for me hope you keep the qualty consistent
50,Coffee arrived stale. ngl I expected more.,coffee arrived stale honestly i expected more
51,Not as fresh as expected. I drink it every morning. ❤️,not as fresh as expected i drink it every morning
52,Love it ☕ 👎,love it
53,Really enjoying Coffee X. I drink it every morning. 👍,really enjoying coffee x i drink it every morning
54,Way too expensive. imo it's one of the better brands.,way too expensive opinion its one of the better brands
55,Bit disappointed. Would recommend it to friends. ❤️,bit disappointed would recommend it to friends
56,Love this coffee. imo it's one of the better brands. ❤️,love this coffee opinion its one of the better brands
57,The beans smell fantastic. I drink it every morning.,the beans smell fantastic i drink it every morning
58,Didn't enjoy the aftertaste. Hope you keep the qualty consistent.,didnt enjoy the aftertaste hope you keep the qualty consistent
59,Best coffee I've had in a while ❤️,best coffee ive had in a while
60,Bit disappointed. ngl I expected more. ❤️,bit disappointed honestly i expected more
61,Not as fresh as expected. Please introduce more roast options. 👍,not as fresh as expected please introduce more roast options
62,Really enjoying Coffee X. I drink it every morning.,really enjoying coffee x i drink it every morning
63,The beans smell fantastic. Would recommend it to friends. 😕,the beans smell fantastic would recommend it to friends
64,Taste is nice but it's a bit pricey. Would recommend it to friends. ❤️,taste is nice but its a bit pricey would recommend it to friends
65,Packaging looks premium but freshness could improve. 😋,packaging looks premium but freshness could improve
66,Didn't enjoy the aftertaste. Delivery was really fast. ❤️,didnt enjoy the aftertaste delivery was really fast
67,My morning feels incomplete without it. ngl I expected more. 😋,my morning feels incomplete without it honestly i expected more
68,Wouldn't buy again. ngl I expected more.,wouldnt buy again honestly i expected more
69,Expected better. Hope you keep the quality consistent.,expected better hope you keep the quality consistent
70,Very balanced flavour. ngl I expected more. ☕,very balanced flavour honestly i expected more
71,Not as fresh as expected. Delivery was really fast. ❤️,not as fresh as expected delivery was really fast
72,Works gr8 with milk but black cofee isn't my favourite. Hope you keep the quality consistent.,works gr with milk but black cofee isnt my favourite hope you keep the quality consistent
73,Amazing aroma. 👌,amazing aroma
74,My morning feels incomplete without it. Not bad at all tbh. 👍,my morning feels incomplete without it not bad at all honestly
75,Very balanced flavour. Customer service was gr8 too.,very balanced flavour customer service was gr too
76,realy enjoying Coffee X. Not bad at all tbh.,realy enjoying coffee x not bad at all honestly
77,The beans smell fantastic. Would love a decaf version. 👍,the beans smell fantastic would love a decaf version
78,Love it ☕ 🤔,love it
79,Amazing 😍 😍,amazing
80,Really enjoying Coffee X. Hope you keep the quality consistent. 😅,really enjoying coffee x hope you keep the quality consistent
81,Works great with milk but black cofee isn't my favourite.,works great with milk but black cofee isnt my favourite
82,Too bitter for me 😅,too bitter for me
83,Amazing 😍 😊,amazing
84,Coffee arrived stale 😋,coffee arrived stale
85,"Love the aroma, not a fan of the aftertaste. Not bad at all tbh. 😍",love the aroma not a fan of the aftertaste not bad at all honestly
86,I'll definitely buy again. imo it's one of the better brands. 🤔,ill definitely buy again opinion its one of the better brands
87,Pretty good overall although I expected a stronger roast. 😍,pretty good overall although i expected a stronger roast
88,Taste is nice but it's a bit pricey. Customer service was great too. 👍,taste is nice but its a bit pricey customer service was great too
89,Very balanced flavour 🤔,very balanced flavour
90,Bit disappointed. I drink it every morning. 🤔,bit disappointed i drink it every morning
91,Too expensive 😕 😍,too expensive
92,I'll definitely buy again. I drink it every morning. 🤔,ill definitely buy again i drink it every morning
93,coffe arrived stale. imo it's one of the better brands.,coffe arrived stale opinion its one of the better brands
94,It's okay. 😅,its okay
95,Pretty good overall although I expected a stronger roast. Delivery was really fast.,pretty good overall although i expected a stronger roast delivery was really fast
96,Amazing aroma. Would recommend it to friends. ❤️,amazing aroma would recommend it to friends
97,Way too expensive. ngl I expected more.,way too expensive honestly i expected more
98,Works gr8 with milk but black coffee isn't my favourite. ❤️,works gr with milk but black coffee isnt my favourite
99,Best coffee I've had in a while. ngl I expected more. 😍,best coffee ive had in a while honestly i expected more
100,Not bad. ☕,not bad
101,Packaging looks premium but freshness could improve. 😅,packaging looks premium but freshness could improve
102,Wouldn't buy again. Please introduce more roast options.,wouldnt buy again please introduce more roast options
103,I'll definitely buy again. Not bad at all tbh. 🤔,ill definitely buy again not bad at all honestly
104,Love this coffee. imo it's one of the better brands. 😊,love this coffee opinion its one of the better brands
105,"Love the aroma, not a fan of the aftertaste. Would recommend it to friends.",love the aroma not a fan of the aftertaste would recommend it to friends
106,I'll definitely buy again. ❤️,ill definitely buy again
107,Way too expensive. Hope you keep the quality consistent. 😋,way too expensive hope you keep the quality consistent
108,Amazing aroma. 👎,amazing aroma
109,Really enjoying Coffee X. imo it's one of the better brands. 👎,really enjoying coffee x opinion its one of the better brands
110,Not as fresh as expected. Hope you keep the quality consistent.,not as fresh as expected hope you keep the quality consistent
111,Works gr8 with milk but black coffee isn't my favourite. I drink it every morning. ☕,works gr with milk but black coffee isnt my favourite i drink it every morning
112,My morning feels incomplete without it 😋,my morning feels incomplete without it
113,Love this coffee. I drink it every morning. ❤️,love this coffee i drink it every morning
114,Pretty good! 🤔,pretty good
115,Very balanced flavour. Would recommend it to friends. 😋,very balanced flavour would recommend it to friends
116,Taste is kinda weak. Would love a decaf version. 👌,taste is kinda weak would love a decaf version
117,I'll definitely buy again. Not bad at all tbh. 😅,ill definitely buy again not bad at all honestly
118,Very balanced flavour. Please introduce more roast options.,very balanced flavour please introduce more roast options
119,Didn't enjoy the aftertaste 😅,didnt enjoy the aftertaste
120,Amazing 😍 ❤️,amazing
121,Taste is nice but it's a bit pricey. 👌,taste is nice but its a bit pricey
122,Amazing aroma 🤔,amazing aroma
123,Amazing 😍 😕,amazing
124,Expected better. 🤔,expected better
125,The beans smell fantastic. Would reccomend it to friends. ☕,the beans smell fantastic would reccomend it to friends
126,Works gr8 with milk but black coffee isn't my favourite. 👍,works gr with milk but black coffee isnt my favourite
127,Taste is kinda weak. Customer service was great too. 🤔,taste is kinda weak customer service was great too
128,Taste is nice but it's a bit pricey. 👍,taste is nice but its a bit pricey
129,Really enjoying Coffee X. Not bad at all tbh. 😅,really enjoying coffee x not bad at all honestly
130,Didn't enjoy the aftertaste. Customer service was great too.,didnt enjoy the aftertaste customer service was great too
131,Taste is nice but it's a bit pricey. Would recommend it to friends. 😍,taste is nice but its a bit pricey would recommend it to friends
132,Bit disappointed. Hope you keep the quality consistent. 👍,bit disappointed hope you keep the quality consistent
133,Expected better. Customer service was great too. 😅,expected better customer service was great too
134,Best cofee I've had in a while 😕,best cofee ive had in a while
135,Packaging looks premium but freshness could improve. Would love a decaf version. 👌,packaging looks premium but freshness could improve would love a decaf version
136,Didn't enjoy the aftertaste. Please introduce more roast options. 😋,didnt enjoy the aftertaste please introduce more roast options
137,"Love the aroma, not a fan of the aftertaste. Please introduce more roast options. 😅",love the aroma not a fan of the aftertaste please introduce more roast options
138,Not as fesh as expected. Not bad at all tbh. ❤️,not as fesh as expected not bad at all honestly
139,realy enjoying Coffee X. Please introduce more roast options.,realy enjoying coffee x please introduce more roast options
140,"Love the aroma, not a fan of the aftertaste. Would love a decaf version. 😋",love the aroma not a fan of the aftertaste would love a decaf version
141,I'll definitely buy again 😅,ill definitely buy again
142,Really enjoying coffe X. Would recommend it to friends.,really enjoying coffe x would recommend it to friends
143,Expected better. ❤️,expected better
144,Best coffee I've had in a while. Customer service was great too.,best coffee ive had in a while customer service was great too
145,Very balanced flavour 😋,very balanced flavour
146,I'll definitely buy again ❤️,ill definitely buy again
147,Too bitter for me. Not bad at all tbh. 😕,too bitter for me not bad at all honestly
148,Really enjoying Coffee X. Delivery was really fast. 😍,really enjoying coffee x delivery was really fast
149,Coffee arrived stale. I drink it every morning.,coffee arrived stale i drink it every morning
150,Best cofee I've had in a while. Delivery was really fast. 👍,best cofee ive had in a while delivery was really fast
151,Worth every penny. ngl I expected more. 😕,worth every penny honestly i expected more
152,Bit disappointed. Would recommend it to friends. 👎,bit disappointed would recommend it to friends
153,Love this cofee Please introduce more roast options.,love this cofee please introduce more roast options
154,Love this coffee 😊,love this coffee
155,Best cofee I've had in a while. Customer service was gr8 too.,best cofee ive had in a while customer service was gr too
156,Packaging could be better. Hope you keep the qualty consistent. 😊,packaging could be better hope you keep the qualty consistent
157,Wouldn't buy again. ngl I expected more. ☕,wouldnt buy again honestly i expected more
158,Works gr8 with milk but black coffee isn't my favourite. I drink it every morning.,works gr with milk but black coffee isnt my favourite i drink it every morning
159,Taste is nice but it's a bit pricey. Would love a decaf version. ☕,taste is nice but its a bit pricey would love a decaf version
160,Pretty good overall although I expected a stronger roast. Would recommend it to friends. 🤔,pretty good overall although i expected a stronger roast would recommend it to friends
161,Too expensive 😕 👍,too expensive
162,Taste is kinda weak 👍,taste is kinda weak
163,Taste is nice but it's a bit pricey. 👎,taste is nice but its a bit pricey
164,Pretty good overall although I expected a stronger roast. Please introduce more roast options. 😅,pretty good overall although i expected a stronger roast please introduce more roast options
165,Too expensive 😕 😊,too expensive
166,I'll definitely buy again. Not bad at all tbh.,ill definitely buy again not bad at all honestly
167,Too bitter for me. ngl I expected more. 😅,too bitter for me honestly i expected more
168,Coffee arrived stale. Would love a decaf version. 😊,coffee arrived stale would love a decaf version
169,Worth every penny. I drink it every morning.,worth every penny i drink it every morning
170,Really enjoying coffe X,really enjoying coffe x
171,Expected better. imo it's one of the better brands. 😋,expected better opinion its one of the better brands
172,Packaging looks premium but freshness could improve. imo it's one of the better brands.,packaging looks premium but freshness could improve opinion its one of the better brands
173,Amazing 😍 🤔,amazing
174,The beans smell fantastic. 😕,the beans smell fantastic
175,The beans smell fantastic. ngl I expected more. 😋,the beans smell fantastic honestly i expected more
176,Best coffee I've had in a while. Customer service was great too. 👎,best coffee ive had in a while customer service was great too
177,Not as fresh as expected. 😅,not as fresh as expected
178,Amazing aroma. Hope you keep the quality consistent. ❤️,amazing aroma hope you keep the quality consistent
179,Really enjoying Coffee X. ngl I expected more. 👌,really enjoying coffee x honestly i expected more
180,Worth every penny. I drink it every morning. ☕,worth every penny i drink it every morning
181,Packaging could be better. Delivery was rly fast.,packaging could be better delivery was rly fast
182,Really enjoying Coffee X. Not bad at all tbh. 😕,really enjoying coffee x not bad at all honestly
183,Bit disappointed. Please introduce more roast options. 👌,bit disappointed please introduce more roast options
184,Expected better. Not bad at all tbh. ❤️,expected better not bad at all honestly
185,Works great with milk but black coffee isn't my favourite. Would recommend it to friends.,works great with milk but black coffee isnt my favourite would recommend it to friends
186,Best coffee I've had in a while. Please introduce more roast options.,best coffee ive had in a while please introduce more roast options
187,Expected better. Please introduce more roast options. 😍,expected better please introduce more roast options
188,Wouldn't buy again. Would love a decaf version.,wouldnt buy again would love a decaf version
189,Amazing 😍 👌,amazing
190,"Love the aroma, not a fan of the aftertaste.",love the aroma not a fan of the aftertaste
191,Too bitter for me. Not bad at all tbh. 👌,too bitter for me not bad at all honestly
192,Worth every penny. Customer service was great too. 😅,worth every penny customer service was great too
193,The beans smell fantastic. 👍,the beans smell fantastic
194,"Love the aroma, not a fan of the aftertaste. Please introduce more roast options. 😕",love the aroma not a fan of the aftertaste please introduce more roast options
195,Really enjoying Coffee X. 😅,really enjoying coffee x
196,Bit disappointed. imo it's one of the better brands.,bit disappointed opinion its one of the better brands
197,Worth every penny. Please introduce more roast options.,worth every penny please introduce more roast options
198,"Love the aroma, not a fan of the aftertaste. ngl I expected more. 👎",love the aroma not a fan of the aftertaste honestly i expected more
199,Pretty good overall although I expected a stronger roast. Delivery was rly fast. 😊,pretty good overall although i expected a stronger roast delivery was rly fast
200,Super smooth taste. Delivery was really fast. 😋,super smooth taste delivery was really fast
201,My morning feels incomplete without it 😍,my morning feels incomplete without it
202,Taste is nice but it's a bit pricey. Delivery was really fast. 😕,taste is nice but its a bit pricey delivery was really fast
203,Really enjoying Coffee X. Please introduce more roast options.,really enjoying coffee x please introduce more roast options
204,Not as fresh as expected. Not bad at all tbh.,not as fresh as expected not bad at all honestly
205,Amazing 😍,amazing
206,10/10 ❤️ 👌,
207,Way too expensive. Customer service was great too. 👎,way too expensive customer service was great too
208,Taste is kinda weak. Would love a decaf version. 😕,taste is kinda weak would love a decaf version
209,I'll definitely buy again. ngl I expected more. 😕,ill definitely buy again honestly i expected more
210,Not bad. 😍,not bad
211,The beans smell fantastic. 🤔,the beans smell fantastic
212,It's okay. 👌,its okay
213,Pretty good overall although I expected a stronger roast. Not bad at all tbh. ☕,pretty good overall although i expected a stronger roast not bad at all honestly
214,Wouldn't buy again. Not bad at all tbh.,wouldnt buy again not bad at all honestly
215,Bit disappointed. imo it's one of the better brands. 👍,bit disappointed opinion its one of the better brands
216,The beans smell fantastic,the beans smell fantastic
217,Best cofee I've had in a while. I drink it every morning.,best cofee ive had in a while i drink it every morning
218,Works great with milk but black cofee isn't my favourite. imo it's one of the better brands.,works great with milk but black cofee isnt my favourite opinion its one of the better brands
219,Didn't enjoy the aftertaste. Would recommend it to friends. 👍,didnt enjoy the aftertaste would recommend it to friends
220,Best cofee I've had in a while. Not bad at all tbh.,best cofee ive had in a while not bad at all honestly
221,Love this cofee 👍,love this cofee
222,Very balanced flavour. Not bad at all tbh. 😍,very balanced flavour not bad at all honestly
223,Coffee arrived stale,coffee arrived stale
224,Super smooth taste. I drink it every morning. 👎,super smooth taste i drink it every morning
225,Best coffe I've had in a while. 🤔,best coffe ive had in a while
226,I'll definitely buy again. Would recommend it to friends. 👌,ill definitely buy again would recommend it to friends
227,Love this coffee. Not bad at all tbh. 😍,love this coffee not bad at all honestly
228,Too bitter for me. I drink it every morning. ❤️,too bitter for me i drink it every morning
229,Love this coffee. Please introduce more roast options. 😅,love this coffee please introduce more roast options
230,I'll definitely buy again 👎,ill definitely buy again
231,Yumm 😋 ☕,yumm
232,Best cofee I've had in a while. 👍,best cofee ive had in a while
233,Too bitter for me. Customer service was great too.,too bitter for me customer service was great too
234,Bit disappointed. I drink it every morning. 😋,bit disappointed i drink it every morning
235,Really enjoying Coffee X. Please introduce more roast options. 🤔,really enjoying coffee x please introduce more roast options
236,Super smooth taste. Delivery was really fast. ☕,super smooth taste delivery was really fast
237,Way too expensive. Not bad at all tbh.,way too expensive not bad at all honestly
238,Expected better. 😕,expected better
239,Really enjoying cofee X 😍,really enjoying cofee x
240,Best coffee I've had in a while. I drink it every morning. 👎,best coffee ive had in a while i drink it every morning
241,Expected better,expected better
242,10/10 ❤️ 😕,
243,Love it ☕,love it
244,The beans smell fantastic. Customer service was great too. 👎,the beans smell fantastic customer service was great too
245,Really enjoying Coffee X. Hope you keep the qualty consistent. 🤔,really enjoying coffee x hope you keep the qualty consistent
246,Wouldn't buy again. imo it's one of the better brands.,wouldnt buy again opinion its one of the better brands
247,Works gr8 with milk but black coffee isn't my favourite. Customer service was gr8 too.,works gr with milk but black coffee isnt my favourite customer service was gr too
248,Amazing aroma. Delivery was really fast. ☕,amazing aroma delivery was really fast
249,I'll definitely buy again. Please introduce more roast options. 😕,ill definitely buy again please introduce more roast options
250,Taste is nice but it's a bit pricey. Would recommend it to friends. ☕,taste is nice but its a bit pricey would recommend it to friends
251,I'll definitely buy again. 😊,ill definitely buy again
252,I'll definately buy again. Customer service was great too.,ill definately buy again customer service was great too
253,The beans smell fantastic. I drink it every morning. 😕,the beans smell fantastic i drink it every morning
254,Too bitter for me ☕,too bitter for me
255,Amazing aroma. imo it's one of the better brands. ❤️,amazing aroma opinion its one of the better brands
256,Taste is nice but it's a bit pricey. Would recommend it to friends. 😊,taste is nice but its a bit pricey would recommend it to friends
257,Taste is kinda weak 😍,taste is kinda weak
258,Not as fresh as expected. ngl I expected more. ❤️,not as fresh as expected honestly i expected more
259,My morning feels incomplete without it. I drink it every morning.,my morning feels incomplete without it i drink it every morning
260,I'll definitely buy again. Delivery was really fast.,ill definitely buy again delivery was really fast
261,Very balanced flavour. Delivery was really fast.,very balanced flavour delivery was really fast
262,I'll definetly buy again.,ill definetly buy again
263,Best coffee I've had in a while. imo it's one of the better brands. 😅,best coffee ive had in a while opinion its one of the better brands
264,Way too expensive. 🤔,way too expensive
265,Didn't enjoy the aftertaste. 😋,didnt enjoy the aftertaste
266,Worth every penny. Delivery was really fast. 👌,worth every penny delivery was really fast
267,Love this coffee. ngl I expected more. 🤔,love this coffee honestly i expected more
268,Super smooth taste. 😅,super smooth taste
269,Very balanced flavour. Hope you keep the quality consistent.,very balanced flavour hope you keep the quality consistent
270,Very balanced flavour. 😍,very balanced flavour
271,Works great with milk but black coffee isn't my favourite. Delivery was really fast. 😋,works great with milk but black coffee isnt my favourite delivery was really fast
272,Best coffee I've had in a while. Not bad at all tbh. ☕,best coffee ive had in a while not bad at all honestly
273,Love this coffe Would recomend it to friends.,love this coffe would recomend it to friends
274,"Love the aroma, not a fan of the aftertaste. I drink it every morning.",love the aroma not a fan of the aftertaste i drink it every morning
275,realy enjoying Coffee X. Would recommend it to friends. 😊,realy enjoying coffee x would recommend it to friends
276,Taste is nice but it's a bit pricey. Would recommend it to friends. 🤔,taste is nice but its a bit pricey would recommend it to friends
277,I'll definitely buy again. I drink it every morning. ☕,ill definitely buy again i drink it every morning
278,Worth every penny. Not bad at all tbh. 😅,worth every penny not bad at all honestly
279,Packaging could be better. Not bad at all tbh. 🤔,packaging could be better not bad at all honestly
280,Amazing 😍 😋,amazing
281,Could be better. 👎,could be better
282,Best coffee I've had in a while. Please introduce more roast options. ☕,best coffee ive had in a while please introduce more roast options
283,Bit disappointed. Would love a decaf version.,bit disappointed would love a decaf version
284,Worth every penny. I drink it every morning. 😕,worth every penny i drink it every morning
285,Pretty good overall although I expected a stronger roast. Hope you keep the quality consistent. 😅,pretty good overall although i expected a stronger roast hope you keep the quality consistent
286,Taste is nice but it's a bit pricey. 😅,taste is nice but its a bit pricey
287,Coffee arrived stale. Customer service was great too. ☕,coffee arrived stale customer service was great too
288,It's okay. 😊,its okay
289,Best coffee I've had in a while. Please introduce more roast options. 👍,best coffee ive had in a while please introduce more roast options
290,Worth every penny,worth every penny
291,Packaging looks premium but freshness could improve. Hope you keep the quality consistent. ❤️,packaging looks premium but freshness could improve hope you keep the quality consistent
292,The beans smell fantastic. imo it's one of the better brands. 👎,the beans smell fantastic opinion its one of the better brands
293,I'll definitely buy again. 😕,ill definitely buy again
294,Wouldn't buy again. Not bad at all tbh. ❤️,wouldnt buy again not bad at all honestly
295,I'll definitely buy again ☕,ill definitely buy again
296,Love it ☕ 😕,love it
297,Taste is kinda weak. Would recommend it to friends. 👍,taste is kinda weak would recommend it to friends
298,Meh. ❤️,meh
299,My morning feels incomplete without it. Would recommend it to friends. 👌,my morning feels incomplete without it would recommend it to friends
300,Expected better. Delivery was really fast. 😋,expected better delivery was really fast
301,Really enjoying coffe X. ngl I expected more.,really enjoying coffe x honestly i expected more
302,Amazing aroma. 😍,amazing aroma
303,Too bitter for me. Hope you keep the quality consistent. ☕,too bitter for me hope you keep the quality consistent
304,Pretty good overall although I expected a stronger roast.,pretty good overall although i expected a stronger roast
305,Amazing aroma. Delivery was realy fast.,amazing aroma delivery was realy fast
306,Love this coffee. imo it's one of the better brands. 🤔,love this coffee opinion its one of the better brands
307,Really enjoying Coffee X. imo it's one of the better brands. ☕,really enjoying coffee x opinion its one of the better brands
308,Super smooth taste. imo it's one of the better brands. 😕,super smooth taste opinion its one of the better brands
309,Bit disappointed. Would recommend it to friends. 😕,bit disappointed would recommend it to friends
310,Best coffee I've had in a while ☕,best coffee ive had in a while
311,The beans smell fantastic. I drink it every morning. 👍,the beans smell fantastic i drink it every morning
312,realy enjoying Coffee X. 👌,realy enjoying coffee x
313,Not as fesh as expected 😋,not as fesh as expected
314,Taste is kinda weak. ❤️,taste is kinda weak
315,The beans smell fantastic. Customer service was gr8 too.,the beans smell fantastic customer service was gr too
316,I'll definitely buy again. Please introduce more roast options. ❤️,ill definitely buy again please introduce more roast options
317,My morning feels incomplete without it. imo it's one of the better brands.,my morning feels incomplete without it opinion its one of the better brands
318,Best coffee I've had in a while. 😊,best coffee ive had in a while
319,My morning feels incomplete without it. imo it's one of the better brands. 🤔,my morning feels incomplete without it opinion its one of the better brands
320,Not as fresh as expected. ngl I expected more. 😍,not as fresh as expected honestly i expected more
321,"Love the aroma, not a fan of the aftertaste. Customer service was great too. 😋",love the aroma not a fan of the aftertaste customer service was great too
322,Best coffee I've had in a while. Would recommend it to friends.,best coffee ive had in a while would recommend it to friends
323,Taste is kinda weak. ngl I expected more. 😅,taste is kinda weak honestly i expected more
324,Best coffee I've had in a while. Would love a decaf version. 👌,best coffee ive had in a while would love a decaf version
325,Works great with milk but black coffee isn't my favourite. I drink it every morning.,works great with milk but black coffee isnt my favourite i drink it every morning
326,Too bitter for me. Please introduce more roast options. ❤️,too bitter for me please introduce more roast options
327,Pretty good!,pretty good
328,Really enjoying cofee X.,really enjoying cofee x
329,Pretty good! 👎,pretty good
330,Bit disappointed. Delivery was really fast. 👎,bit disappointed delivery was really fast
331,Pretty good overall although I expected a stronger roast. Not bad at all tbh. 🤔,pretty good overall although i expected a stronger roast not bad at all honestly
332,Could be better. 🤔,could be better
333,Pretty good overall although I expected a stronger roast. Not bad at all tbh. 😋,pretty good overall although i expected a stronger roast not bad at all honestly
334,Really enjoying Coffee X. Customer service was great too.,really enjoying coffee x customer service was great too
335,Wouldn't buy again. ngl I expected more. 😍,wouldnt buy again honestly i expected more
336,Amazing aroma. Delivery was really fast.,amazing aroma delivery was really fast
337,Amazing aroma. 🤔,amazing aroma
338,Way too expensive. 👌,way too expensive
339,Love this coffee. Please introduce more roast options. 😍,love this coffee please introduce more roast options
340,rly enjoying Coffee X. imo it's one of the better brands. 😋,rly enjoying coffee x opinion its one of the better brands
341,Taste is kinda weak. Would recommend it to friends.,taste is kinda weak would recommend it to friends
342,Packaging could be better. Please introduce more roast options. 😕,packaging could be better please introduce more roast options
343,Really enjoying Coffee X. 😋,really enjoying coffee x
344,Taste is kinda weak. 🤔,taste is kinda weak
345,Wouldn't buy again. 😅,wouldnt buy again
346,Didn't enjoy the aftertaste. imo it's one of the better brands. 👍,didnt enjoy the aftertaste opinion its one of the better brands
347,Super smooth taste 😕,super smooth taste
348,Best coffee I've had in a while. ngl I expected more.,best coffee ive had in a while honestly i expected more
349,Love this coffee. Would reccomend it to friends.,love this coffee would reccomend it to friends
350,"Love the aroma, not a fan of the aftertaste. Not bad at all tbh.",love the aroma not a fan of the aftertaste not bad at all honestly
351,Bit disappointed. Not bad at all tbh.,bit disappointed not bad at all honestly
352,Amazing 😍 👍,amazing
353,I'll definitely buy again. Would recommend it to friends.,ill definitely buy again would recommend it to friends
354,Amazing aroma. ngl I expected more. 🤔,amazing aroma honestly i expected more
355,Works great with milk but black coffee isn't my favourite. 😋,works great with milk but black coffee isnt my favourite
356,Taste is nice but it's a bit pricey. imo it's one of the better brands. 😊,taste is nice but its a bit pricey opinion its one of the better brands
357,Love this coffee. Delivery was really fast. 😊,love this coffee delivery was really fast
358,Expected better. Not bad at all tbh.,expected better not bad at all honestly
359,Didn't enjoy the aftertaste. Not bad at all tbh. 🤔,didnt enjoy the aftertaste not bad at all honestly
360,My morning feels incomplete without it. Would recommend it to friends. 😊,my morning feels incomplete without it would recommend it to friends
361,Worth every penny 😋,worth every penny
362,Taste is kinda weak. imo it's one of the better brands. 🤔,taste is kinda weak opinion its one of the better brands
363,Taste is kinda weak ❤️,taste is kinda weak
364,Taste is nice but it's a bit pricey. ngl I expected more.,taste is nice but its a bit pricey honestly i expected more
365,Love it ☕ ☕,love it
366,Best coffee I've had in a while. Would love a decaf version. 👎,best coffee ive had in a while would love a decaf version
367,Very balanced flavour. imo it's one of the better brands. 😅,very balanced flavour opinion its one of the better brands
368,Too bitter for me. Please introduce more roast options. 😕,too bitter for me please introduce more roast options
369,Pretty good overall although I expected a stronger roast. ngl I expected more. ❤️,pretty good overall although i expected a stronger roast honestly i expected more
370,Very balanced flavour. Hope you keep the quality consistent. ❤️,very balanced flavour hope you keep the quality consistent
371,Amazing aroma. Customer service was great too. 😍,amazing aroma customer service was great too
