RespondentID,Feedback,Sentiment,clean_feedback,tokens,filtered_tokens,lemmatized_tokens,processed_text
12,Taste is nice but it's a bit pricey. Would love a decaf version.,Neutral,taste is nice but its a bit pricey would love a decaf version,"['taste', 'is', 'nice', 'but', 'its', 'a', 'bit', 'pricey', 'would', 'love', 'a', 'decaf', 'version']","['taste', 'nice', 'bit', 'pricey', 'would', 'love', 'decaf', 'version']","['taste', 'nice', 'bit', 'pricey', 'would', 'love', 'decaf', 'version']",taste nice bit pricey would love decaf version
13,Worth every penny 😅,Positive,worth every penny,"['worth', 'every', 'penny']","['worth', 'every', 'penny']","['worth', 'every', 'penny']",worth every penny
14,Bit disappointed. I drink it every morning.,Neutral,bit disappointed i drink it every morning,"['bit', 'disappointed', 'i', 'drink', 'it', 'every', 'morning']","['bit', 'disappointed', 'drink', 'every', 'morning']","['bit', 'disappointed', 'drink', 'every', 'morning']",bit disappointed drink every morning
15,The beans smell fantastic. ☕,Positive,the beans smell fantastic,"['the', 'beans', 'smell', 'fantastic']","['beans', 'smell', 'fantastic']","['bean', 'smell', 'fantastic']",bean smell fantastic
16,Packaging could be better. Customer service was great too.,Neutral,packaging could be better customer service was great too,"['packaging', 'could', 'be', 'better', 'customer', 'service', 'was', 'great', 'too']","['packaging', 'could', 'better', 'customer', 'service', 'great']","['packaging', 'could', 'better', 'customer', 'service', 'great']",packaging could better customer service great
17,My morning feels incomplete without it. imo it's one of the better brands.,Positive,my morning feels incomplete without it opinion its one of the better brands,"['my', 'morning', 'feels', 'incomplete', 'without', 'it', 'opinion', 'its', 'one', 'of', 'the', 'better', 'brands']","['morning', 'feels', 'incomplete', 'without', 'opinion', 'one', 'better', 'brands']","['morning', 'feel', 'incomplete', 'without', 'opinion', 'one', 'better', 'brand']",morning feel incomplete without opinion one better brand
18,Packaging could be better. Please introduce more roast options. 😕,Neutral,packaging could be better please introduce more roast options,"['packaging', 'could', 'be', 'better', 'please', 'introduce', 'more', 'roast', 'options']","['packaging', 'could', 'better', 'please', 'introduce', 'roast', 'options']","['packaging', 'could', 'better', 'please', 'introduce', 'roast', 'option']",packaging could better please introduce roast option
19,The beans smell fantastic. Would love a decaf version.,Positive,the beans smell fantastic would love a decaf version,"['the', 'beans', 'smell', 'fantastic', 'would', 'love', 'a', 'decaf', 'version']","['beans', 'smell', 'fantastic', 'would', 'love', 'decaf', 'version']","['bean', 'smell', 'fantastic', 'would', 'love', 'decaf', 'version']",bean smell fantastic would love decaf version
20,My morning feels incomplete without it. Please introduce more roast options. 😅,Positive,my morning feels incomplete without it please introduce more roast options,"['my', 'morning', 'feels', 'incomplete', 'without', 'it', 'please', 'introduce', 'more', 'roast', 'options']","['morning', 'feels', 'incomplete', 'without', 'please', 'introduce', 'roast', 'options']","['morning', 'feel', 'incomplete', 'without', 'please', 'introduce', 'roast', 'option']",morning feel incomplete without please introduce roast option
21,Pretty good overall although I expected a stronger roast. ngl I expected more. ❤️,Neutral,pretty good overall although i expected a stronger roast honestly i expected more,"['pretty', 'good', 'overall', 'although', 'i', 'expected', 'a', 'stronger', 'roast', 'honestly', 'i', 'expected', 'more']","['pretty', 'good', 'overall', 'although', 'expected', 'stronger', 'roast', 'honestly', 'expected']","['pretty', 'good', 'overall', 'although', 'expected', 'stronger', 'roast', 'honestly', 'expected']",pretty good overall although expected stronger roast honestly expected
22,Not as fresh as expected 😕,Negative,not as fresh as expected,"['not', 'as', 'fresh', 'as', 'expected']","['not', 'fresh', 'expected']","['not', 'fresh', 'expected']",not fresh expected
23,Didn't enjoy the aftertaste. I drink it every morning.,Neutral,didnt enjoy the aftertaste i drink it every morning,"['didnt', 'enjoy', 'the', 'aftertaste', 'i', 'drink', 'it', 'every', 'morning']","['didnt', 'enjoy', 'aftertaste', 'drink', 'every', 'morning']","['didnt', 'enjoy', 'aftertaste', 'drink', 'every', 'morning']",didnt enjoy aftertaste drink every morning
24,Yumm 😋 😋,Positive,yumm,['yumm'],['yumm'],['yumm'],yumm
25,Yumm 😋 😅,Positive,yumm,['yumm'],['yumm'],['yumm'],yumm
26,Super smooth taste. I drink it every morning. 😕,Positive,super smooth taste i drink it every morning,"['super', 'smooth', 'taste', 'i', 'drink', 'it', 'every', 'morning']","['super', 'smooth', 'taste', 'drink', 'every', 'morning']","['super', 'smooth', 'taste', 'drink', 'every', 'morning']",super smooth taste drink every morning
27,Works great with milk but black coffee isn't my favourite. imo it's one of the better brands. ❤️,Neutral,works great with milk but black coffee isnt my favourite opinion its one of the better brands,"['works', 'great', 'with', 'milk', 'but', 'black', 'coffee', 'isnt', 'my', 'favourite', 'opinion', 'its', 'one', 'of', 'the', 'better', 'brands']","['works', 'great', 'milk', 'black', 'coffee', 'isnt', 'favourite', 'opinion', 'one', 'better', 'brands']","['work', 'great', 'milk', 'black', 'coffee', 'isnt', 'favourite', 'opinion', 'one', 'better', 'brand']",work great milk black coffee isnt favourite opinion one better brand
28,"Love the aroma, not a fan of the aftertaste. Would love a decaf version. 😋",Neutral,love the aroma not a fan of the aftertaste would love a decaf version,"['love', 'the', 'aroma', 'not', 'a', 'fan', 'of', 'the', 'aftertaste', 'would', 'love', 'a', 'decaf', 'version']","['love', 'aroma', 'not', 'fan', 'aftertaste', 'would', 'love', 'decaf', 'version']","['love', 'aroma', 'not', 'fan', 'aftertaste', 'would', 'love', 'decaf', 'version']",love aroma not fan aftertaste would love decaf version
29,Packaging looks premium but freshness could improve. Please introduce more roast options. 👍,Neutral,packaging looks premium but freshness could improve please introduce more roast options,"['packaging', 'looks', 'premium', 'but', 'freshness', 'could', 'improve', 'please', 'introduce', 'more', 'roast', 'options']","['packaging', 'looks', 'premium', 'freshness', 'could', 'improve', 'please', 'introduce', 'roast', 'options']","['packaging', 'look', 'premium', 'freshness', 'could', 'improve', 'please', 'introduce', 'roast', 'option']",packaging look premium freshness could improve please introduce roast option
30,Coffee arrived stale.,Negative,coffee arrived stale,"['coffee', 'arrived', 'stale']","['coffee', 'arrived', 'stale']","['coffee', 'arrived', 'stale']",coffee arrived stale
31,cofee arrived stale. ngl I expected more.,Negative,cofee arrived stale honestly i expected more,"['cofee', 'arrived', 'stale', 'honestly', 'i', 'expected', 'more']","['cofee', 'arrived', 'stale', 'honestly', 'expected']","['cofee', 'arrived', 'stale', 'honestly', 'expected']",cofee arrived stale honestly expected
32,Works gr8 with milk but black coffee isn't my favourite.,Neutral,works gr with milk but black coffee isnt my favourite,"['works', 'gr', 'with', 'milk', 'but', 'black', 'coffee', 'isnt', 'my', 'favourite']","['works', 'gr', 'milk', 'black', 'coffee', 'isnt', 'favourite']","['work', 'gr', 'milk', 'black', 'coffee', 'isnt', 'favourite']",work gr milk black coffee isnt favourite
33,Works great with milk but black coffe isn't my favourite. Would recommend it to friends.,Neutral,works great with milk but black coffe isnt my favourite would recommend it to friends,"['works', 'great', 'with', 'milk', 'but', 'black', 'coffe', 'isnt', 'my', 'favourite', 'would', 'recommend', 'it', 'to', 'friends']","['works', 'great', 'milk', 'black', 'coffe', 'isnt', 'favourite', 'would', 'recommend', 'friends']","['work', 'great', 'milk', 'black', 'coffe', 'isnt', 'favourite', 'would', 'recommend', 'friend']",work great milk black coffe isnt favourite would recommend friend
34,Best coffee I've had in a while. I drink it every morning. 👍,Positive,best coffee ive had in a while i drink it every morning,"['best', 'coffee', 'ive', 'had', 'in', 'a', 'while', 'i', 'drink', 'it', 'every', 'morning']","['best', 'coffee', 'ive', 'drink', 'every', 'morning']","['best', 'coffee', 'ive', 'drink', 'every', 'morning']",best coffee ive drink every morning
35,Not as fresh as expected,Negative,not as fresh as expected,"['not', 'as', 'fresh', 'as', 'expected']","['not', 'fresh', 'expected']","['not', 'fresh', 'expected']",not fresh expected
36,Not as fesh as expected. Would love a decaf version. 🤔,Negative,not as fesh as expected would love a decaf version,"['not', 'as', 'fesh', 'as', 'expected', 'would', 'love', 'a', 'decaf', 'version']","['not', 'fesh', 'expected', 'would', 'love', 'decaf', 'version']","['not', 'fesh', 'expected', 'would', 'love', 'decaf', 'version']",not fesh expected would love decaf version
37,Taste is nice but it's a bit pricey. ☕,Neutral,taste is nice but its a bit pricey,"['taste', 'is', 'nice', 'but', 'its', 'a', 'bit', 'pricey']","['taste', 'nice', 'bit', 'pricey']","['taste', 'nice', 'bit', 'pricey']",taste nice bit pricey
38,Amazing aroma.,Positive,amazing aroma,"['amazing', 'aroma']","['amazing', 'aroma']","['amazing', 'aroma']",amazing aroma
39,Very balanced flavour. Hope you keep the quality consistent.,Positive,very balanced flavour hope you keep the quality consistent,"['very', 'balanced', 'flavour', 'hope', 'you', 'keep', 'the', 'quality', 'consistent']","['balanced', 'flavour', 'hope', 'keep', 'quality', 'consistent']","['balanced', 'flavour', 'hope', 'keep', 'quality', 'consistent']",balanced flavour hope keep quality consistent
40,Taste is nice but it's a bit pricey. Would recommend it to friends.,Neutral,taste is nice but its a bit pricey would recommend it to friends,"['taste', 'is', 'nice', 'but', 'its', 'a', 'bit', 'pricey', 'would', 'recommend', 'it', 'to', 'friends']","['taste', 'nice', 'bit', 'pricey', 'would', 'recommend', 'friends']","['taste', 'nice', 'bit', 'pricey', 'would', 'recommend', 'friend']",taste nice bit pricey would recommend friend
41,Pretty good overall although I expected a stronger roast.,Neutral,pretty good overall although i expected a stronger roast,"['pretty', 'good', 'overall', 'although', 'i', 'expected', 'a', 'stronger', 'roast']","['pretty', 'good', 'overall', 'although', 'expected', 'stronger', 'roast']","['pretty', 'good', 'overall', 'although', 'expected', 'stronger', 'roast']",pretty good overall although expected stronger roast
42,Packaging looks premium but freshness could improve.,Neutral,packaging looks premium but freshness could improve,"['packaging', 'looks', 'premium', 'but', 'freshness', 'could', 'improve']","['packaging', 'looks', 'premium', 'freshness', 'could', 'improve']","['packaging', 'look', 'premium', 'freshness', 'could', 'improve']",packaging look premium freshness could improve
43,Didn't enjoy the aftertaste. ngl I expected more.,Negative,didnt enjoy the aftertaste honestly i expected more,"['didnt', 'enjoy', 'the', 'aftertaste', 'honestly', 'i', 'expected', 'more']","['didnt', 'enjoy', 'aftertaste', 'honestly', 'expected']","['didnt', 'enjoy', 'aftertaste', 'honestly', 'expected']",didnt enjoy aftertaste honestly expected
44,Could be better. 👌,Negative,could be better,"['could', 'be', 'better']","['could', 'better']","['could', 'better']",could better
45,Love this cofee 👍,Positive,love this cofee,"['love', 'this', 'cofee']","['love', 'cofee']","['love', 'cofee']",love cofee
46,The beans smell fantastic. ngl I expected more.,Neutral,the beans smell fantastic honestly i expected more,"['the', 'beans', 'smell', 'fantastic', 'honestly', 'i', 'expected', 'more']","['beans', 'smell', 'fantastic', 'honestly', 'expected']","['bean', 'smell', 'fantastic', 'honestly', 'expected']",bean smell fantastic honestly expected
47,Expected better. ngl I expected more.,Negative,expected better honestly i expected more,"['expected', 'better', 'honestly', 'i', 'expected', 'more']","['expected', 'better', 'honestly', 'expected']","['expected', 'better', 'honestly', 'expected']",expected better honestly expected
48,Works gr8 with milk but black cofee isn't my favourite. Delivery was really fast.,Neutral,works gr with milk but black cofee isnt my favourite delivery was really fast,"['works', 'gr', 'with', 'milk', 'but', 'black', 'cofee', 'isnt', 'my', 'favourite', 'delivery', 'was', 'really', 'fast']","['works', 'gr', 'milk', 'black', 'cofee', 'isnt', 'favourite', 'delivery', 'really', 'fast']","['work', 'gr', 'milk', 'black', 'cofee', 'isnt', 'favourite', 'delivery', 'really', 'fast']",work gr milk black cofee isnt favourite delivery really fast
49,Super smooth taste. Customer service was great too.,Positive,super smooth taste customer service was great too,"['super', 'smooth', 'taste', 'customer', 'service', 'was', 'great', 'too']","['super', 'smooth', 'taste', 'customer', 'service', 'great']","['super', 'smooth', 'taste', 'customer', 'service', 'great']",super smooth taste customer service great
50,"Love the aroma, not a fan of the aftertaste. 😍",Neutral,love the aroma not a fan of the aftertaste,"['love', 'the', 'aroma', 'not', 'a', 'fan', 'of', 'the', 'aftertaste']","['love', 'aroma', 'not', 'fan', 'aftertaste']","['love', 'aroma', 'not', 'fan', 'aftertaste']",love aroma not fan aftertaste
51,Best coffee I've had in a while,Positive,best coffee ive had in a while,"['best', 'coffee', 'ive', 'had', 'in', 'a', 'while']","['best', 'coffee', 'ive']","['best', 'coffee', 'ive']",best coffee ive
53,My morning feels incomplete without it 😋,Positive,my morning feels incomplete without it,"['my', 'morning', 'feels', 'incomplete', 'without', 'it']","['morning', 'feels', 'incomplete', 'without']","['morning', 'feel', 'incomplete', 'without']",morning feel incomplete without
54,Packaging could be better. ❤️,Negative,packaging could be better,"['packaging', 'could', 'be', 'better']","['packaging', 'could', 'better']","['packaging', 'could', 'better']",packaging could better
55,Bit disappointed. Would love a decaf version.,Neutral,bit disappointed would love a decaf version,"['bit', 'disappointed', 'would', 'love', 'a', 'decaf', 'version']","['bit', 'disappointed', 'would', 'love', 'decaf', 'version']","['bit', 'disappointed', 'would', 'love', 'decaf', 'version']",bit disappointed would love decaf version
56,Didn't enjoy the aftertaste. Not bad at all tbh. 🤔,Neutral,didnt enjoy the aftertaste not bad at all honestly,"['didnt', 'enjoy', 'the', 'aftertaste', 'not', 'bad', 'at', 'all', 'honestly']","['didnt', 'enjoy', 'aftertaste', 'not', 'bad', 'honestly']","['didnt', 'enjoy', 'aftertaste', 'not', 'bad', 'honestly']",didnt enjoy aftertaste not bad honestly
57,Very balanced flavour. ngl I expected more. 😍,Neutral,very balanced flavour honestly i expected more,"['very', 'balanced', 'flavour', 'honestly', 'i', 'expected', 'more']","['balanced', 'flavour', 'honestly', 'expected']","['balanced', 'flavour', 'honestly', 'expected']",balanced flavour honestly expected
58,Way too expensive.,Negative,way too expensive,"['way', 'too', 'expensive']","['way', 'expensive']","['way', 'expensive']",way expensive
59,Really enjoying Coffee X,Positive,really enjoying coffee x,"['really', 'enjoying', 'coffee', 'x']","['really', 'enjoying', 'coffee', 'x']","['really', 'enjoying', 'coffee', 'x']",really enjoying coffee x
60,Very balanced flavour. Please introduce more roast options.,Positive,very balanced flavour please introduce more roast options,"['very', 'balanced', 'flavour', 'please', 'introduce', 'more', 'roast', 'options']","['balanced', 'flavour', 'please', 'introduce', 'roast', 'options']","['balanced', 'flavour', 'please', 'introduce', 'roast', 'option']",balanced flavour please introduce roast option
61,Worth every penny. Please introduce more roast options.,Positive,worth every penny please introduce more roast options,"['worth', 'every', 'penny', 'please', 'introduce', 'more', 'roast', 'options']","['worth', 'every', 'penny', 'please', 'introduce', 'roast', 'options']","['worth', 'every', 'penny', 'please', 'introduce', 'roast', 'option']",worth every penny please introduce roast option
62,Really enjoying Coffee X. Would love a decaf version. 👌,Positive,really enjoying coffee x would love a decaf version,"['really', 'enjoying', 'coffee', 'x', 'would', 'love', 'a', 'decaf', 'version']","['really', 'enjoying', 'coffee', 'x', 'would', 'love', 'decaf', 'version']","['really', 'enjoying', 'coffee', 'x', 'would', 'love', 'decaf', 'version']",really enjoying coffee x would love decaf version
63,Love this coffe Not bad at all tbh.,Positive,love this coffe not bad at all honestly,"['love', 'this', 'coffe', 'not', 'bad', 'at', 'all', 'honestly']","['love', 'coffe', 'not', 'bad', 'honestly']","['love', 'coffe', 'not', 'bad', 'honestly']",love coffe not bad honestly
64,"Love the aroma, not a fan of the aftertaste. I drink it every morning.",Neutral,love the aroma not a fan of the aftertaste i drink it every morning,"['love', 'the', 'aroma', 'not', 'a', 'fan', 'of', 'the', 'aftertaste', 'i', 'drink', 'it', 'every', 'morning']","['love', 'aroma', 'not', 'fan', 'aftertaste', 'drink', 'every', 'morning']","['love', 'aroma', 'not', 'fan', 'aftertaste', 'drink', 'every', 'morning']",love aroma not fan aftertaste drink every morning
65,Amazing 😍,Positive,amazing,['amazing'],['amazing'],['amazing'],amazing
66,Packaging looks premium but freshness could improve. 😋,Neutral,packaging looks premium but freshness could improve,"['packaging', 'looks', 'premium', 'but', 'freshness', 'could', 'improve']","['packaging', 'looks', 'premium', 'freshness', 'could', 'improve']","['packaging', 'look', 'premium', 'freshness', 'could', 'improve']",packaging look premium freshness could improve
67,Worth every penny. Hope you keep the qualty consistent.,Positive,worth every penny hope you keep the qualty consistent,"['worth', 'every', 'penny', 'hope', 'you', 'keep', 'the', 'qualty', 'consistent']","['worth', 'every', 'penny', 'hope', 'keep', 'qualty', 'consistent']","['worth', 'every', 'penny', 'hope', 'keep', 'qualty', 'consistent']",worth every penny hope keep qualty consistent
68,Best coffee I've had in a while. Would love a decaf version. 👎,Positive,best coffee ive had in a while would love a decaf version,"['best', 'coffee', 'ive', 'had', 'in', 'a', 'while', 'would', 'love', 'a', 'decaf', 'version']","['best', 'coffee', 'ive', 'would', 'love', 'decaf', 'version']","['best', 'coffee', 'ive', 'would', 'love', 'decaf', 'version']",best coffee ive would love decaf version
69,Really enjoying coffe X.,Positive,really enjoying coffe x,"['really', 'enjoying', 'coffe', 'x']","['really', 'enjoying', 'coffe', 'x']","['really', 'enjoying', 'coffe', 'x']",really enjoying coffe x
70,Works great with milk but black coffee isn't my favourite. Please introduce more roast options.,Neutral,works great with milk but black coffee isnt my favourite please introduce more roast options,"['works', 'great', 'with', 'milk', 'but', 'black', 'coffee', 'isnt', 'my', 'favourite', 'please', 'introduce', 'more', 'roast', 'options']","['works', 'great', 'milk', 'black', 'coffee', 'isnt', 'favourite', 'please', 'introduce', 'roast', 'options']","['work', 'great', 'milk', 'black', 'coffee', 'isnt', 'favourite', 'please', 'introduce', 'roast', 'option']",work great milk black coffee isnt favourite please introduce roast option
71,Very balanced flavour. I drink it every morning. 👎,Positive,very balanced flavour i drink it every morning,"['very', 'balanced', 'flavour', 'i', 'drink', 'it', 'every', 'morning']","['balanced', 'flavour', 'drink', 'every', 'morning']","['balanced', 'flavour', 'drink', 'every', 'morning']",balanced flavour drink every morning
72,"Love the aroma, not a fan of the aftertaste.",Neutral,love the aroma not a fan of the aftertaste,"['love', 'the', 'aroma', 'not', 'a', 'fan', 'of', 'the', 'aftertaste']","['love', 'aroma', 'not', 'fan', 'aftertaste']","['love', 'aroma', 'not', 'fan', 'aftertaste']",love aroma not fan aftertaste
73,Amazing aroma. Would recommend it to friends.,Positive,amazing aroma would recommend it to friends,"['amazing', 'aroma', 'would', 'recommend', 'it', 'to', 'friends']","['amazing', 'aroma', 'would', 'recommend', 'friends']","['amazing', 'aroma', 'would', 'recommend', 'friend']",amazing aroma would recommend friend
74,Works gr8 with milk but black coffee isn't my favourite. Hope you keep the quality consistent. 👌,Neutral,works gr with milk but black coffee isnt my favourite hope you keep the quality consistent,"['works', 'gr', 'with', 'milk', 'but', 'black', 'coffee', 'isnt', 'my', 'favourite', 'hope', 'you', 'keep', 'the', 'quality', 'consistent']","['works', 'gr', 'milk', 'black', 'coffee', 'isnt', 'favourite', 'hope', 'keep', 'quality', 'consistent']","['work', 'gr', 'milk', 'black', 'coffee', 'isnt', 'favourite', 'hope', 'keep', 'quality', 'consistent']",work gr milk black coffee isnt favourite hope keep quality consistent
75,"Love the aroma, not a fan of the aftertaste. Customer service was great too.",Neutral,love the aroma not a fan of the aftertaste customer service was great too,"['love', 'the', 'aroma', 'not', 'a', 'fan', 'of', 'the', 'aftertaste', 'customer', 'service', 'was', 'great', 'too']","['love', 'aroma', 'not', 'fan', 'aftertaste', 'customer', 'service', 'great']","['love', 'aroma', 'not', 'fan', 'aftertaste', 'customer', 'service', 'great']",love aroma not fan aftertaste customer service great
76,Love this coffee 👎,Positive,love this coffee,"['love', 'this', 'coffee']","['love', 'coffee']","['love', 'coffee']",love coffee
77,Expected better. 🤔,Negative,expected better,"['expected', 'better']","['expected', 'better']","['expected', 'better']",expected better
78,The beans smell fantastic. imo it's one of the better brands.,Positive,the beans smell fantastic opinion its one of the better brands,"['the', 'beans', 'smell', 'fantastic', 'opinion', 'its', 'one', 'of', 'the', 'better', 'brands']","['beans', 'smell', 'fantastic', 'opinion', 'one', 'better', 'brands']","['bean', 'smell', 'fantastic', 'opinion', 'one', 'better', 'brand']",bean smell fantastic opinion one better brand
79,Taste is nice but it's a bit pricey.,Neutral,taste is nice but its a bit pricey,"['taste', 'is', 'nice', 'but', 'its', 'a', 'bit', 'pricey']","['taste', 'nice', 'bit', 'pricey']","['taste', 'nice', 'bit', 'pricey']",taste nice bit pricey
80,Very balanced flavour. Would recommend it to friends. 👍,Positive,very balanced flavour would recommend it to friends,"['very', 'balanced', 'flavour', 'would', 'recommend', 'it', 'to', 'friends']","['balanced', 'flavour', 'would', 'recommend', 'friends']","['balanced', 'flavour', 'would', 'recommend', 'friend']",balanced flavour would recommend friend
81,Yumm 😋,Positive,yumm,['yumm'],['yumm'],['yumm'],yumm
82,Packaging looks premium but freshness could improve. Would love a decaf version. 😕,Neutral,packaging looks premium but freshness could improve would love a decaf version,"['packaging', 'looks', 'premium', 'but', 'freshness', 'could', 'improve', 'would', 'love', 'a', 'decaf', 'version']","['packaging', 'looks', 'premium', 'freshness', 'could', 'improve', 'would', 'love', 'decaf', 'version']","['packaging', 'look', 'premium', 'freshness', 'could', 'improve', 'would', 'love', 'decaf', 'version']",packaging look premium freshness could improve would love decaf version
84,Taste is nice but it's a bit pricey. I drink it every morning. ☕,Neutral,taste is nice but its a bit pricey i drink it every morning,"['taste', 'is', 'nice', 'but', 'its', 'a', 'bit', 'pricey', 'i', 'drink', 'it', 'every', 'morning']","['taste', 'nice', 'bit', 'pricey', 'drink', 'every', 'morning']","['taste', 'nice', 'bit', 'pricey', 'drink', 'every', 'morning']",taste nice bit pricey drink every morning
85,Didn't enjoy the aftertaste,Negative,didnt enjoy the aftertaste,"['didnt', 'enjoy', 'the', 'aftertaste']","['didnt', 'enjoy', 'aftertaste']","['didnt', 'enjoy', 'aftertaste']",didnt enjoy aftertaste
86,Love this coffee. Please introduce more roast options. 😅,Positive,love this coffee please introduce more roast options,"['love', 'this', 'coffee', 'please', 'introduce', 'more', 'roast', 'options']","['love', 'coffee', 'please', 'introduce', 'roast', 'options']","['love', 'coffee', 'please', 'introduce', 'roast', 'option']",love coffee please introduce roast option
87,Taste is nice but it's a bit pricey. Not bad at all tbh.,Neutral,taste is nice but its a bit pricey not bad at all honestly,"['taste', 'is', 'nice', 'but', 'its', 'a', 'bit', 'pricey', 'not', 'bad', 'at', 'all', 'honestly']","['taste', 'nice', 'bit', 'pricey', 'not', 'bad', 'honestly']","['taste', 'nice', 'bit', 'pricey', 'not', 'bad', 'honestly']",taste nice bit pricey not bad honestly
88,Best coffee I've had in a while. I drink it every morning.,Positive,best coffee ive had in a while i drink it every morning,"['best', 'coffee', 'ive', 'had', 'in', 'a', 'while', 'i', 'drink', 'it', 'every', 'morning']","['best', 'coffee', 'ive', 'drink', 'every', 'morning']","['best', 'coffee', 'ive', 'drink', 'every', 'morning']",best coffee ive drink every morning
89,Taste is kinda weak. Hope you keep the qualty consistent.,Neutral,taste is kinda weak hope you keep the qualty consistent,"['taste', 'is', 'kinda', 'weak', 'hope', 'you', 'keep', 'the', 'qualty', 'consistent']","['taste', 'kinda', 'weak', 'hope', 'keep', 'qualty', 'consistent']","['taste', 'kinda', 'weak', 'hope', 'keep', 'qualty', 'consistent']",taste kinda weak hope keep qualty consistent
90,Amazing aroma. ngl I expected more. 😕,Neutral,amazing aroma honestly i expected more,"['amazing', 'aroma', 'honestly', 'i', 'expected', 'more']","['amazing', 'aroma', 'honestly', 'expected']","['amazing', 'aroma', 'honestly', 'expected']",amazing aroma honestly expected
91,Taste is nice but it's a bit pricey. ngl I expected more.,Neutral,taste is nice but its a bit pricey honestly i expected more,"['taste', 'is', 'nice', 'but', 'its', 'a', 'bit', 'pricey', 'honestly', 'i', 'expected', 'more']","['taste', 'nice', 'bit', 'pricey', 'honestly', 'expected']","['taste', 'nice', 'bit', 'pricey', 'honestly', 'expected']",taste nice bit pricey honestly expected
92,Amazing aroma. ngl I expected more. 🤔,Neutral,amazing aroma honestly i expected more,"['amazing', 'aroma', 'honestly', 'i', 'expected', 'more']","['amazing', 'aroma', 'honestly', 'expected']","['amazing', 'aroma', 'honestly', 'expected']",amazing aroma honestly expected
93,Amazing aroma. imo it's one of the better brands. ☕,Positive,amazing aroma opinion its one of the better brands,"['amazing', 'aroma', 'opinion', 'its', 'one', 'of', 'the', 'better', 'brands']","['amazing', 'aroma', 'opinion', 'one', 'better', 'brands']","['amazing', 'aroma', 'opinion', 'one', 'better', 'brand']",amazing aroma opinion one better brand
94,It's okay.,Neutral,its okay,"['its', 'okay']",['okay'],['okay'],okay
