RespondentID,Feedback,Sentiment,clean_feedback
42,Packaging looks premium but freshness could improve.,Neutral,packaging looks premium but freshness could improve
43,Didn't enjoy the aftertaste. ngl I expected more.,Negative,didnt enjoy the aftertaste honestly i expected more
44,Could be better. 👌,Negative,could be better
45,Love this cofee 👍,Positive,love this cofee
46,The beans smell fantastic. ngl I expected more.,Neutral,the beans smell fantastic honestly i expected more
47,Expected better. ngl I expected more.,Negative,expected better honestly i expected more
48,Works gr8 with milk but black cofee isn't my favourite. Delivery was really fast.,Neutral,works gr with milk but black cofee isnt my favourite delivery was really fast
49,Super smooth taste. Customer service was great too.,Positive,super smooth taste customer service was great too
50,"Love the aroma, not a fan of the aftertaste. 😍",Neutral,love the aroma not a fan of the aftertaste
51,Best coffee I've had in a while,Positive,best coffee ive had in a while
52,10/10 ❤️ 👍,Positive,
53,My morning feels incomplete without it 😋,Positive,my morning feels incomplete without it
54,Packaging could be better. ❤️,Negative,packaging could be better
55,Bit disappointed. Would love a decaf version.,Neutral,bit disappointed would love a decaf version
56,Didn't enjoy the aftertaste. Not bad at all tbh. 🤔,Neutral,didnt enjoy the aftertaste not bad at all honestly
57,Very balanced flavour. ngl I expected more. 😍,Neutral,very balanced flavour honestly i expected more
58,Way too expensive.,Negative,way too expensive
59,Really enjoying Coffee X,Positive,really enjoying coffee x
60,Very balanced flavour. Please introduce more roast options.,Positive,very balanced flavour please introduce more roast options
61,Worth every penny. Please introduce more roast options.,Positive,worth every penny please introduce more roast options
62,Really enjoying Coffee X. Would love a decaf version. 👌,Positive,really enjoying coffee x would love a decaf version
63,Love this coffe Not bad at all tbh.,Positive,love this coffe not bad at all honestly
64,"Love the aroma, not a fan of the aftertaste. I drink it every morning.",Neutral,love the aroma not a fan of the aftertaste i drink it every morning
65,Amazing 😍,Positive,amazing
66,Packaging looks premium but freshness could improve. 😋,Neutral,packaging looks premium but freshness could improve
67,Worth every penny. Hope you keep the qualty consistent.,Positive,worth every penny hope you keep the qualty consistent
68,Best coffee I've had in a while. Would love a decaf version. 👎,Positive,best coffee ive had in a while would love a decaf version
69,Really enjoying coffe X.,Positive,really enjoying coffe x
70,Works great with milk but black coffee isn't my favourite. Please introduce more roast options.,Neutral,works great with milk but black coffee isnt my favourite please introduce more roast options
71,Very balanced flavour. I drink it every morning. 👎,Positive,very balanced flavour i drink it every morning
72,"Love the aroma, not a fan of the aftertaste.",Neutral,love the aroma not a fan of the aftertaste
73,Amazing aroma. Would recommend it to friends.,Positive,amazing aroma would recommend it to friends
74,Works gr8 with milk but black coffee isn't my favourite. Hope you keep the quality consistent. 👌,Neutral,works gr with milk but black coffee isnt my favourite hope you keep the quality consistent
75,"Love the aroma, not a fan of the aftertaste. Customer service was great too.",Neutral,love the aroma not a fan of the aftertaste customer service was great too
76,Love this coffee 👎,Positive,love this coffee
77,Expected better. 🤔,Negative,expected better
78,The beans smell fantastic. imo it's one of the better brands.,Positive,the beans smell fantastic opinion its one of the better brands
79,Taste is nice but it's a bit pricey.,Neutral,taste is nice but its a bit pricey
80,Very balanced flavour. Would recommend it to friends. 👍,Positive,very balanced flavour would recommend it to friends
81,Yumm 😋,Positive,yumm
82,Packaging looks premium but freshness could improve. Would love a decaf version. 😕,Neutral,packaging looks premium but freshness could improve would love a decaf version
83,10/10 ❤️,Positive,
84,Taste is nice but it's a bit pricey. I drink it every morning. ☕,Neutral,taste is nice but its a bit pricey i drink it every morning
85,Didn't enjoy the aftertaste,Negative,didnt enjoy the aftertaste
86,Love this coffee. Please introduce more roast options. 😅,Positive,love this coffee please introduce more roast options
87,Taste is nice but it's a bit pricey. Not bad at all tbh.,Neutral,taste is nice but its a bit pricey not bad at all honestly
88,Best coffee I've had in a while. I drink it every morning.,Positive,best coffee ive had in a while i drink it every morning
89,Taste is kinda weak. Hope you keep the qualty consistent.,Neutral,taste is kinda weak hope you keep the qualty consistent
90,Amazing aroma. ngl I expected more. 😕,Neutral,amazing aroma honestly i expected more
91,Taste is nice but it's a bit pricey. ngl I expected more.,Neutral,taste is nice but its a bit pricey honestly i expected more
92,Amazing aroma. ngl I expected more. 🤔,Neutral,amazing aroma honestly i expected more
93,Amazing aroma. imo it's one of the better brands. ☕,Positive,amazing aroma opinion its one of the better brands
94,It's okay.,Neutral,its okay
95,The beans smell fantastic,Positive,the beans smell fantastic
96,Really enjoying Coffee X.,Positive,really enjoying coffee x
97,Wouldn't buy again,Negative,wouldnt buy again
98,Too expensive 😕,Negative,too expensive
99,realy enjoying Coffee X. Please introduce more roast options.,Positive,realy enjoying coffee x please introduce more roast options
100,Expected better. Not bad at all tbh. ☕,Neutral,expected better not bad at all honestly
101,Worth every penny. I drink it every morning.,Positive,worth every penny i drink it every morning
102,Really enjoying Coffee X. Would love a decaf version.,Positive,really enjoying coffee x would love a decaf version
103,The beans smell fantastic. Would recommend it to friends. ☕,Positive,the beans smell fantastic would recommend it to friends
104,Packaging could be better. Delivery was really fast. 👌,Neutral,packaging could be better delivery was really fast
105,Expected better.,Negative,expected better
106,I'll definitely buy again. I drink it every morning.,Positive,ill definitely buy again i drink it every morning
107,Really enjoying Coffee X. ngl I expected more.,Neutral,really enjoying coffee x honestly i expected more
108,Very balanced flavour. I drink it every morning.,Positive,very balanced flavour i drink it every morning
109,My morning feels incomplete without it,Positive,my morning feels incomplete without it
110,Very balanced flavour. Would recommend it to friends.,Positive,very balanced flavour would recommend it to friends
111,Taste is nice but it's a bit pricey. 😊,Neutral,taste is nice but its a bit pricey
112,Best coffee I've had in a while. imo it's one of the better brands.,Positive,best coffee ive had in a while opinion its one of the better brands
113,I'll definitely buy again. 😋,Positive,ill definitely buy again
114,Taste is kinda weak. ngl I expected more.,Negative,taste is kinda weak honestly i expected more
115,Amazing aroma. Delivery was really fast.,Positive,amazing aroma delivery was really fast
116,My morning feels incomplete without it. Customer service was great too. 😍,Positive,my morning feels incomplete without it customer service was great too
117,Not as fresh as expected 😋,Negative,not as fresh as expected
118,Meh. 😍,Negative,meh
119,I'll definitely buy again,Positive,ill definitely buy again
120,Worth every penny,Positive,worth every penny
121,Too bitter for me,Negative,too bitter for me
122,Could be better.,Negative,could be better
123,Taste is kinda weak.,Negative,taste is kinda weak
124,Taste is nice but it's a bit pricey. Delivery was really fast.,Neutral,taste is nice but its a bit pricey delivery was really fast
125,Amazing aroma. Hope you keep the quality consistent.,Positive,amazing aroma hope you keep the quality consistent
126,Packaging looks premium but freshness could improve. 😅,Neutral,packaging looks premium but freshness could improve
127,Amazing aroma. Please introduce more roast options.,Positive,amazing aroma please introduce more roast options
128,Really enjoying Coffee X. Hope you keep the quality consistent.,Positive,really enjoying coffee x hope you keep the quality consistent
129,My morning feels incomplete without it 😊,Positive,my morning feels incomplete without it
130,realy enjoying Coffee X. Not bad at all tbh.,Positive,realy enjoying coffee x not bad at all honestly
131,Really enjoying Coffee X. ❤️,Positive,really enjoying coffee x
132,Packaging looks premium but freshness could improve. Would love a decaf version.,Neutral,packaging looks premium but freshness could improve would love a decaf version
133,The beans smell fantastic. Please introduce more roast options.,Positive,the beans smell fantastic please introduce more roast options
134,Amazing aroma. Please introduce more roast options. 😍,Positive,amazing aroma please introduce more roast options
135,Taste is kinda weak 😍,Negative,taste is kinda weak
136,Taste is nice but it's a bit pricey. 👍,Neutral,taste is nice but its a bit pricey
137,Works gr8 with milk but black coffee isn't my favourite. I drink it every morning.,Neutral,works gr with milk but black coffee isnt my favourite i drink it every morning
138,Works great with milk but black coffee isn't my favourite. Not bad at all tbh.,Neutral,works great with milk but black coffee isnt my favourite not bad at all honestly
139,Pretty good overall although I expected a stronger roast. imo it's one of the better brands.,Neutral,pretty good overall although i expected a stronger roast opinion its one of the better brands
140,Best coffee I've had in a while. 😋,Positive,best coffee ive had in a while
141,Super smooth taste. I drink it every morning.,Positive,super smooth taste i drink it every morning
142,Best coffee I've had in a while. Customer service was gr8 too.,Positive,best coffee ive had in a while customer service was gr too
143,The beans smell fantastic. Delivery was really fast.,Positive,the beans smell fantastic delivery was really fast
144,Love this coffe Would recommend it to friends.,Positive,love this coffe would recommend it to friends
145,Very balanced flavour 👌,Positive,very balanced flavour
146,Packaging looks premium but freshness could improve. Delivery was really fast.,Neutral,packaging looks premium but freshness could improve delivery was really fast
147,I'll definitely buy again. Customer service was great too.,Positive,ill definitely buy again customer service was great too
148,Very balanced flavour. ☕,Positive,very balanced flavour
149,Packaging looks premium but freshness could improve. imo it's one of the better brands. 😕,Neutral,packaging looks premium but freshness could improve opinion its one of the better brands
150,Super smooth taste. Hope you keep the quality consistent.,Positive,super smooth taste hope you keep the quality consistent
151,realy enjoying Coffee X. Customer service was great too. 🤔,Positive,realy enjoying coffee x customer service was great too
152,Packaging looks premium but freshness could improve. Hope you keep the quality consistent. 👌,Neutral,packaging looks premium but freshness could improve hope you keep the quality consistent
153,Expected better. Hope you keep the quality consistent.,Negative,expected better hope you keep the quality consistent
154,Taste is kinda weak. Would love a decaf version. 😕,Negative,taste is kinda weak would love a decaf version
155,Very balanced flavour. ngl I expected more. ☕,Negative,very balanced flavour honestly i expected more
156,Love it ☕,Positive,love it
157,Packaging looks premium but freshness could improve. Not bad at all tbh.,Neutral,packaging looks premium but freshness could improve not bad at all honestly
158,Works great with milk but black coffee isn't my favourite. Would love a decaf version.,Neutral,works great with milk but black coffee isnt my favourite would love a decaf version
159,Very balanced flavour. Delivery was really fast.,Positive,very balanced flavour delivery was really fast
160,Not as fresh as expected. Customer service was great too. 😋,Neutral,not as fresh as expected customer service was great too
161,Not as fresh as expected. Customer service was great too.,Neutral,not as fresh as expected customer service was great too
162,The beans smell fantastic. Not bad at all tbh. 👎,Neutral,the beans smell fantastic not bad at all honestly
163,My morning feels incomplete without it. 😋,Positive,my morning feels incomplete without it
164,Expected better. 😅,Negative,expected better
165,I'll definitely buy again. Not bad at all tbh.,Positive,ill definitely buy again not bad at all honestly
166,Way too expensive. Delivery was really fast. ☕,Neutral,way too expensive delivery was really fast
167,Very balanced flavour. 😕,Positive,very balanced flavour
168,Pretty good overall although I expected a stronger roast. ngl I expected more. 🤔,Neutral,pretty good overall although i expected a stronger roast honestly i expected more
169,Really enjoying Coffee X. Would recommend it to friends.,Positive,really enjoying coffee x would recommend it to friends
170,Very balanced flavour. Not bad at all tbh.,Positive,very balanced flavour not bad at all honestly
171,Too bitter for me. Would recommend it to friends.,Neutral,too bitter for me would recommend it to friends
172,The beans smell fantastic.,Positive,the beans smell fantastic
173,Worth every penny. 🤔,Positive,worth every penny
174,Works great with milk but black coffee isn't my favourite.,Neutral,works great with milk but black coffee isnt my favourite
175,Taste is kinda weak. Would reccomend it to friends.,Neutral,taste is kinda weak would reccomend it to friends
176,Worth every penny.,Positive,worth every penny
177,Works great with milk but black coffee isn't my favourite. 😍,Neutral,works great with milk but black coffee isnt my favourite
178,Super smooth taste 😋,Positive,super smooth taste
179,Way too expensive. Hope you keep the quality consistent.,Neutral,way too expensive hope you keep the quality consistent
180,Bit disappointed,Negative,bit disappointed
181,Packaging could be better,Negative,packaging could be better
182,Taste is nice but it's a bit pricey. Delivery was really fast. 😕,Neutral,taste is nice but its a bit pricey delivery was really fast
183,"Love the aroma, not a fan of the aftertaste. Not bad at all tbh. 😍",Neutral,love the aroma not a fan of the aftertaste not bad at all honestly
184,Worth every penny. Hope you keep the quality consistent.,Neutral,worth every penny hope you keep the quality consistent
185,Bit disappointed. Would love a decaf version. ☕,Neutral,bit disappointed would love a decaf version
186,My morning feels incomplete without it. Would love a decaf version.,Positive,my morning feels incomplete without it would love a decaf version
187,Didn't enjoy the aftertaste. imo it's one of the better brands.,Neutral,didnt enjoy the aftertaste opinion its one of the better brands
188,Best coffee I've had in a while. Please introduce more roast options.,Positive,best coffee ive had in a while please introduce more roast options
189,Works great with milk but black coffee isn't my favourite. Customer service was gr8 too.,Neutral,works great with milk but black coffee isnt my favourite customer service was gr too
190,Way too expensive. ngl I expected more.,Neutral,way too expensive honestly i expected more
191,Really enjoying Coffee X. Not bad at all tbh. 😕,Positive,really enjoying coffee x not bad at all honestly
192,Expected better. Not bad at all tbh.,Neutral,expected better not bad at all honestly
193,Yumm 😋 🤔,Positive,yumm
194,Really enjoying Coffee X. Hope you keep the quality consistent. 😅,Positive,really enjoying coffee x hope you keep the quality consistent
195,Works great with milk but black coffee isn't my favourite. Not bad at all tbh. 😍,Neutral,works great with milk but black coffee isnt my favourite not bad at all honestly
196,Didn't enjoy the aftertaste 😋,Negative,didnt enjoy the aftertaste
197,Amazing aroma. Delivery was rly fast. 😅,Positive,amazing aroma delivery was rly fast
198,Best coffee I've had in a while.,Positive,best coffee ive had in a while
199,Taste is kinda weak. Hope you keep the quality consistent. ❤️,Neutral,taste is kinda weak hope you keep the quality consistent
200,Wouldn't buy again. ❤️,Positive,wouldnt buy again
201,Works great with milk but black coffee isn't my favourite. 😅,Neutral,works great with milk but black coffee isnt my favourite
202,Worth every penny. Delivery was realy fast. ❤️,Positive,worth every penny delivery was realy fast
203,Packaging looks premium but freshness could improve. Not bad at all tbh. 👎,Neutral,packaging looks premium but freshness could improve not bad at all honestly
204,"Love the aroma, not a fan of the aftertaste. 🤔",Neutral,love the aroma not a fan of the aftertaste
205,Best cofee I've had in a while. 👍,Positive,best cofee ive had in a while
206,Way too expensive. Hope you keep the quality consistent. 😊,Neutral,way too expensive hope you keep the quality consistent
207,"Love the aroma, not a fan of the aftertaste. Hope you keep the quality consistent.",Neutral,love the aroma not a fan of the aftertaste hope you keep the quality consistent
208,Love this coffee 😕,Positive,love this coffee
209,My morning feels incomplete without it.,Positive,my morning feels incomplete without it
210,Super smooth taste,Positive,super smooth taste
211,Very balanced flavour. Would love a decaf version. 🤔,Positive,very balanced flavour would love a decaf version
212,cofee arrived stale. imo it's one of the better brands.,Neutral,cofee arrived stale opinion its one of the better brands
213,Amazing 😍 😋,Positive,amazing
214,Super smooth taste. Would love a decaf version. 👍,Positive,super smooth taste would love a decaf version
215,"Love the aroma, not a fan of the aftertaste. Hope you keep the qualty consistent. 😋",Neutral,love the aroma not a fan of the aftertaste hope you keep the qualty consistent
216,Expected better. imo it's one of the better brands.,Neutral,expected better opinion its one of the better brands
217,Works gr8 with milk but black coffee isn't my favourite. Customer service was great too.,Neutral,works gr with milk but black coffee isnt my favourite customer service was great too
218,Super smooth taste. Please introduce more roast options. 😕,Positive,super smooth taste please introduce more roast options
219,I'll definately buy again ❤️,Positive,ill definately buy again
220,Coffee arrived stale. Would love a decaf version.,Neutral,coffee arrived stale would love a decaf version
221,Best coffee I've had in a while. Customer service was great too.,Positive,best coffee ive had in a while customer service was great too
222,Packaging looks premium but freshness could improve. Customer service was great too.,Neutral,packaging looks premium but freshness could improve customer service was great too
223,Amazing aroma. Delivery was really fast. 😅,Positive,amazing aroma delivery was really fast
224,Super smooth taste. Hope you keep the quality consistent. 😋,Positive,super smooth taste hope you keep the quality consistent
225,I'll definitely buy again. Customer service was great too. 😊,Positive,ill definitely buy again customer service was great too
226,Very balanced flavour,Positive,very balanced flavour
227,Didn't enjoy the aftertaste.,Negative,didnt enjoy the aftertaste
228,Expected better. I drink it every morning. 😊,Neutral,expected better i drink it every morning
229,Taste is kinda weak. 😅,Negative,taste is kinda weak
230,Packaging could be better. Hope you keep the quality consistent.,Neutral,packaging could be better hope you keep the quality consistent
231,Really enjoying Coffee X. Please introduce more roast options.,Positive,really enjoying coffee x please introduce more roast options
232,Too bitter for me. imo it's one of the better brands.,Neutral,too bitter for me opinion its one of the better brands
233,Best cofee I've had in a while. Customer service was gr8 too.,Positive,best cofee ive had in a while customer service was gr too
234,Wouldn't buy again. Not bad at all tbh.,Neutral,wouldnt buy again not bad at all honestly
235,Super smooth taste. Would recommend it to friends.,Positive,super smooth taste would recommend it to friends
236,I'll definetly buy again,Positive,ill definetly buy again
237,The beans smell fantastic. Delivery was really fast. 👎,Positive,the beans smell fantastic delivery was really fast
238,Pretty good!,Positive,pretty good
239,Taste is nice but it's a bit pricey. Not bad at all tbh. 😕,Neutral,taste is nice but its a bit pricey not bad at all honestly
240,Amazing aroma. ngl I expected more.,Neutral,amazing aroma honestly i expected more
241,Packaging could be better. imo it's one of the better brands.,Neutral,packaging could be better opinion its one of the better brands
242,Not as fresh as expected. imo it's one of the better brands.,Neutral,not as fresh as expected opinion its one of the better brands
243,Very balanced flavour. Would love a decaf version. ❤️,Positive,very balanced flavour would love a decaf version
244,Amazing aroma,Positive,amazing aroma
245,Pretty good overall although I expected a stronger roast. Not bad at all tbh.,Neutral,pretty good overall although i expected a stronger roast not bad at all honestly
246,I'll definitely buy again. Would recommend it to friends.,Positive,ill definitely buy again would recommend it to friends
247,Could be better. 😍,Negative,could be better
248,I'll definitely buy again.,Positive,ill definitely buy again
249,"Love the aroma, not a fan of the aftertaste. 😕",Neutral,love the aroma not a fan of the aftertaste
250,Super smooth taste 😍,Positive,super smooth taste
