id,age
452,25-44
453,45-64
454,18-24
455,45-64
456,18-24
457,25-44
458,25-44
459,25-44
460,65+
461,45-64
462,45-64
463,18-24
464,45-64
465,18-24
466,65+
467,18-24
468,18-24
469,18-24
470,45-64
471,25-44
472,65+
473,65+
474,25-44
475,25-44
476,65+
477,65+
478,25-44
479,18-24
480,65+
481,18-24
482,45-64
483,25-44
484,25-44
485,25-44
486,18-24
487,25-44
488,65+
489,25-44
490,45-64
491,65+
492,25-44
493,18-24
494,65+
495,65+
496,45-64
497,25-44
498,45-64
499,18-24
500,65+
501,25-44
502,18-24
503,18-24
504,65+
505,18-24
506,45-64
507,65+
508,18-24
509,65+
510,65+
511,25-44
512,65+
513,25-44
514,25-44
515,18-24
516,45-64
517,25-44
518,65+
519,25-44
520,65+
521,45-64
522,45-64
523,18-24
524,18-24
525,65+
526,45-64
527,45-64
528,65+
529,45-64
530,25-44
531,45-64
532,18-24
533,65+
534,45-64
535,18-24
536,65+
537,25-44
538,25-44
539,65+
540,45-64
541,45-64
542,25-44
543,45-64
544,18-24
545,45-64
546,65+
547,45-64
548,65+
549,25-44
550,65+
551,45-64
552,18-24
553,18-24
554,25-44
555,45-64
556,18-24
557,18-24
558,45-64
559,45-64
560,25-44
561,65+
562,25-44
563,45-64
564,18-24
565,65+
566,45-64
567,25-44
568,25-44
569,25-44
570,65+
571,25-44
572,25-44
573,25-44
574,65+
575,65+
576,25-44
577,65+
578,45-64
579,45-64
580,18-24
581,25-44
582,45-64
583,18-24
584,25-44
585,65+
586,18-24
587,18-24
588,18-24
589,45-64
590,45-64
591,18-24
592,45-64
593,65+
594,45-64
595,25-44
596,65+
597,45-64
598,45-64
599,18-24
600,65+
601,65+
602,65+
603,25-44
604,45-64
605,65+
606,25-44
607,25-44
608,18-24
609,25-44
610,18-24
611,25-44
612,45-64
613,45-64
614,45-64
615,65+
616,65+
617,45-64
618,18-24
619,18-24
620,45-64
621,18-24
622,25-44
623,45-64
624,25-44
625,25-44
626,18-24
627,25-44
628,65+
629,65+
630,18-24
631,25-44
632,18-24
633,45-64
634,45-64
635,18-24
636,25-44
637,18-24
638,25-44
639,18-24
640,65+
641,45-64
642,18-24
643,65+
644,65+
645,65+
646,25-44
647,25-44
648,25-44
649,45-64
650,18-24
651,18-24
652,18-24
653,25-44
654,18-24
655,65+
656,18-24
657,25-44
658,18-24
659,45-64
660,45-64
661,65+
662,65+
663,65+
664,18-24
665,18-24
666,25-44
667,18-24
668,18-24
669,18-24
670,18-24
671,25-44
672,18-24
673,45-64
674,25-44
675,25-44
676,65+
677,65+
678,65+
679,18-24
680,18-24
681,18-24
682,18-24
683,65+
684,45-64
685,65+
686,25-44
687,18-24
688,25-44
689,18-24
690,65+
691,18-24
692,25-44
693,25-44
694,65+
695,18-24
696,45-64
697,25-44
698,25-44
699,25-44
700,18-24
701,18-24
702,25-44
703,25-44
704,65+
705,25-44
706,18-24
707,18-24
708,45-64
709,18-24
710,25-44
711,25-44
712,65+
713,18-24
714,25-44
715,45-64
716,65+
717,65+
718,18-24
719,25-44
720,45-64
721,45-64
722,65+
723,18-24
724,18-24
725,65+
726,25-44
727,25-44
728,18-24
729,18-24
730,25-44
731,45-64
732,25-44
733,65+
734,18-24
735,65+
736,45-64
737,65+
738,18-24
739,65+
740,25-44
741,45-64
742,65+
743,65+
744,65+
745,45-64
746,65+
747,45-64
748,25-44
749,45-64
750,65+
751,45-64
752,18-24
753,45-64
754,45-64
755,25-44
756,18-24
757,18-24
758,18-24
759,25-44
760,65+
761,45-64
762,45-64
763,45-64
764,45-64
765,25-44
766,18-24
767,45-64
768,65+
769,18-24
770,18-24
771,45-64
772,65+
773,18-24
774,18-24
775,18-24
776,65+
777,45-64
778,18-24
779,65+
780,18-24
781,65+
782,25-44
783,25-44
784,65+
785,25-44
786,18-24
787,25-44
788,18-24
789,18-24
790,65+
791,65+
792,18-24
793,18-24
794,25-44
795,65+
796,18-24
797,45-64
798,65+
799,65+
800,45-64
801,25-44
802,45-64
803,45-64
804,45-64
805,18-24
806,65+
807,45-64
808,45-64
809,45-64
810,25-44
811,65+
812,18-24
813,45-64
814,45-64
815,65+
816,45-64
817,25-44
818,18-24
819,65+
820,65+
821,65+
822,25-44
823,25-44
824,18-24
825,18-24
826,65+
827,18-24
828,25-44
829,18-24
830,45-64
831,45-64
832,25-44
833,45-64
834,45-64
835,45-64
836,65+
837,25-44
838,45-64
839,25-44
840,45-64
841,45-64
842,25-44
843,45-64
844,45-64
845,18-24
846,65+
847,45-64
848,18-24
849,45-64
850,18-24
851,65+
852,25-44
853,25-44
854,45-64
855,65+
856,65+
857,25-44
858,18-24
859,25-44
860,65+
861,25-44
862,65+
863,65+
864,45-64
865,25-44
866,45-64
867,65+
868,25-44
869,45-64
870,18-24
871,45-64
872,18-24
873,18-24
874,25-44
875,25-44
876,65+
877,25-44
878,18-24
879,45-64
880,25-44
881,45-64
882,65+
883,25-44
884,25-44
885,25-44
886,65+
887,18-24
888,18-24
889,25-44
890,65+
891,25-44
892,18-24
893,45-64
894,18-24
895,45-64
896,65+
897,18-24
898,45-64
899,45-64
900,65+
901,65+
902,45-64
903,45-64
904,45-64
905,45-64
906,65+
907,45-64
908,65+
909,65+
910,25-44
911,18-24
912,65+
913,25-44
914,25-44
915,18-24
916,25-44
917,18-24
918,25-44
919,45-64
920,65+
921,18-24
922,45-64
923,65+
924,25-44
925,45-64
926,45-64
927,65+
928,65+
929,45-64
930,25-44
931,45-64
932,18-24
933,45-64
934,18-24
935,65+
936,18-24
937,18-24
938,25-44
939,25-44
940,65+
941,18-24
942,18-24
943,65+
944,65+
945,45-64
946,18-24
947,65+
948,25-44
949,45-64
950,45-64
951,65+
952,65+
953,18-24
954,45-64
955,25-44
956,65+
957,25-44
958,18-24
959,65+
960,45-64
961,18-24
962,18-24
963,45-64
964,25-44
965,45-64
966,25-44
967,25-44
968,65+
969,65+
970,65+
971,18-24
972,45-64
973,65+
974,25-44
975,25-44
976,25-44
977,18-24
978,45-64
979,25-44
980,18-24
981,18-24
982,18-24
983,65+
984,65+
985,65+
986,25-44
987,18-24
988,45-64
989,45-64
990,65+
991,45-64
992,45-64
993,18-24
994,18-24
995,18-24
996,45-64
997,25-44
998,25-44
999,45-64
1000,18-24
1001,65+
1002,18-24
1003,65+
1004,45-64
1005,25-44
1006,25-44
1007,18-24
1008,65+
1009,45-64
1010,25-44
1011,65+
1012,65+
1013,25-44
1014,65+
1015,65+
1016,65+
1017,45-64
1018,65+
1019,45-64
1020,25-44
1021,18-24
1022,25-44
1023,45-64
1024,65+
1025,25-44
1026,18-24
1027,25-44
1028,18-24
1029,65+
1030,45-64
1031,65+
1032,65+
1033,25-44
1034,18-24
1035,25-44
1036,65+
1037,45-64
1038,65+
1039,65+
1040,65+
1041,25-44
1042,65+
1043,45-64
1044,65+
1045,45-64
1046,45-64
1047,18-24
1048,65+
1049,18-24
1050,45-64
1051,45-64
1052,25-44
1053,45-64
1054,18-24
1055,18-24
1056,25-44
1057,25-44
1058,65+
1059,18-24
1060,65+
1061,45-64
1062,25-44
1063,45-64
1064,18-24
1065,25-44
1066,65+
1067,18-24
1068,65+
1069,18-24
1070,25-44
1071,25-44
1072,18-24
1073,25-44
1074,45-64
1075,25-44
1076,25-44
1077,18-24
1078,45-64
1079,45-64
1080,65+
1081,65+
1082,18-24
1083,65+
1084,25-44
1085,45-64
1086,25-44
1087,45-64
1088,65+
1089,45-64
1090,25-44
1091,45-64
1092,45-64
1093,25-44
1094,25-44
1095,25-44
1096,18-24
1097,18-24
1098,18-24
1099,25-44
1100,45-64
1101,65+
1102,18-24
1103,25-44
1104,45-64
1105,25-44
1106,45-64
1107,65+
1108,18-24
1109,65+
1110,18-24
1111,18-24
1112,45-64
1113,18-24
1114,65+
1115,45-64
1116,45-64
1117,18-24
1118,25-44
1119,18-24
1120,25-44
1121,45-64
1122,18-24
1123,25-44
1124,18-24
1125,45-64
1126,45-64
1127,25-44
1128,65+
1129,65+
1130,45-64
1131,65+
1132,45-64
1133,25-44
1134,25-44
1135,45-64
1136,18-24
1137,65+
1138,25-44
1139,18-24
1140,18-24
1141,25-44
1142,18-24
1143,25-44
1144,18-24
1145,65+
1146,25-44
1147,25-44
1148,45-64
1149,65+
1150,25-44
1151,25-44
1152,65+
1153,65+
1154,25-44
1155,18-24
1156,18-24
1157,45-64
1158,25-44
1159,45-64
1160,65+
1161,45-64
1162,18-24
1163,65+
1164,18-24
1165,45-64
1166,25-44
1167,65+
1168,18-24
1169,45-64
1170,18-24
1171,18-24
1172,65+
1173,45-64
1174,18-24
1175,65+
1176,18-24
1177,65+
1178,65+
1179,45-64
1180,65+
1181,18-24
1182,25-44
1183,65+
1184,45-64
1185,65+
1186,45-64
1187,25-44
1188,25-44
1189,45-64
1190,45-64
1191,25-44
1192,45-64
1193,65+
1194,25-44
1195,18-24
1196,45-64
1197,18-24
1198,18-24
1199,65+
1200,18-24
1201,65+
1202,65+
1203,25-44
1204,65+
1205,18-24
1206,65+
1207,18-24
1208,25-44
1209,65+
1210,25-44
1211,25-44
1212,45-64
1213,65+
1214,45-64
1215,45-64
1216,25-44
1217,45-64
1218,65+
1219,25-44
1220,65+
1221,45-64
1222,18-24
1223,45-64
1224,65+
1225,18-24
1226,18-24
1227,65+
1228,65+
1229,45-64
1230,65+
1231,45-64
1232,45-64
1233,45-64
1234,45-64
1235,25-44
1236,45-64
1237,18-24
1238,18-24
1239,18-24
1240,45-64
1241,18-24
1242,18-24
1243,45-64
1244,65+
1245,65+
1246,25-44
1247,18-24
1248,25-44
1249,65+
1250,45-64
1251,65+
1252,18-24
1253,18-24
1254,65+
1255,25-44
1256,45-64
1257,65+
1258,45-64
1259,45-64
1260,45-64
1261,25-44
1262,18-24
1263,45-64
1264,45-64
1265,25-44
1266,25-44
1267,45-64
1268,65+
1269,25-44
1270,18-24
1271,18-24
1272,18-24
1273,18-24
1274,65+
1275,25-44
1276,18-24
1277,65+
1278,25-44
1279,18-24
1280,65+
1281,25-44
1282,65+
1283,65+
1284,65+
1285,45-64
1286,45-64
1287,65+
1288,65+
1289,45-64
1290,45-64
1291,18-24
1292,65+
1293,18-24
1294,45-64
1295,18-24
1296,25-44
1297,65+
1298,45-64
1299,18-24
1300,45-64
1301,25-44
1302,45-64
1303,18-24
1304,18-24
1305,65+
1306,65+
1307,18-24
1308,18-24
1309,65+
1310,25-44
1311,25-44
1312,65+
1313,25-44
1314,45-64
1315,45-64
1316,25-44
1317,45-64
1318,25-44
1319,45-64
1320,18-24
1321,25-44
1322,65+
1323,18-24
1324,65+
1325,18-24
1326,45-64
1327,25-44
1328,45-64
1329,25-44
1330,18-24
1331,45-64
1332,65+
1333,65+
1334,25-44
1335,25-44
1336,45-64
1337,65+
1338,25-44
1339,45-64
1340,18-24
1341,45-64
1342,25-44
1343,18-24
1344,45-64
1345,45-64
1346,65+
1347,45-64
1348,25-44
1349,45-64
1350,25-44
1351,45-64
1352,18-24
1353,18-24
1354,18-24
1355,65+
1356,18-24
1357,65+
1358,25-44
1359,25-44
1360,65+
1361,25-44
1362,25-44
1363,65+
1364,18-24
1365,45-64
1366,65+
1367,25-44
1368,45-64
1369,65+
1370,25-44
1371,45-64
1372,25-44
1373,18-24
1374,25-44
1375,45-64
1376,45-64
1377,25-44
1378,65+
1379,45-64
1380,18-24
1381,65+
1382,18-24
1383,25-44
1384,65+
1385,45-64
1386,18-24
1387,65+
1388,65+
1389,18-24
1390,45-64
1391,45-64
1392,65+
1393,25-44
1394,65+
1395,45-64
1396,45-64
1397,45-64
1398,25-44
1399,45-64
1400,25-44
1401,18-24
1402,25-44
1403,65+
1404,25-44
1405,45-64
1406,25-44
1407,45-64
1408,45-64
1409,45-64
1410,45-64
1411,45-64
1412,25-44
1413,18-24
1414,18-24
1415,25-44
1416,18-24
1417,25-44
1418,45-64
1419,45-64
1420,45-64
1421,25-44
1422,65+
1423,45-64
1424,18-24
1425,45-64
1426,25-44
1427,65+
1428,25-44
1429,65+
1430,45-64
1431,25-44
1432,65+
1433,45-64
1434,65+
1435,25-44
1436,65+
1437,18-24
1438,25-44
1439,18-24
1440,18-24
1441,18-24
1442,65+
1443,25-44
1444,65+
1445,45-64
1446,25-44
1447,18-24
1448,25-44
1449,65+
1450,65+
1451,25-44
1452,45-64
1453,18-24
1454,25-44
1455,45-64
1456,45-64
1457,65+
1458,25-44
1459,25-44
1460,45-64
1461,25-44
1462,25-44
1463,18-24
1464,18-24
1465,65+
1466,25-44
1467,65+
1468,18-24
1469,25-44
1470,65+
1471,25-44
1472,65+
1473,45-64
1474,45-64
1475,25-44
1476,65+
1477,25-44
1478,25-44
1479,65+
1480,65+
1481,45-64
1482,25-44
1483,45-64
1484,18-24
1485,18-24
1486,45-64
1487,25-44
1488,25-44
1489,65+
1490,65+
1491,45-64
1492,45-64
1493,18-24
1494,45-64
1495,65+
1496,65+
1497,18-24
1498,18-24
1499,65+
1500,25-44
