id,gender,id,age,id,brand,RespondentID,Feedback
189,female,189,18-24,189,A,189,Amazing 😍 👌
190,female,190,45-64,190,B,190,"Love the aroma, not a fan of the aftertaste."
191,male,191,18-24,191,B,191,Too bitter for me. Not bad at all tbh. 👌
192,female,192,45-64,192,B,192,Worth every penny. Customer service was great too. 😅
193,female,193,25-44,193,A,193,The beans smell fantastic. 👍
194,female,194,25-44,194,B,194,"Love the aroma, not a fan of the aftertaste. Please introduce more roast options. 😕"
195,female,195,18-24,195,B,195,Really enjoying Coffee X. 😅
196,female,196,18-24,196,B,196,Bit disappointed. imo it's one of the better brands.
197,male,197,45-64,197,B,197,Worth every penny. Please introduce more roast options.
198,female,198,45-64,198,B,198,"Love the aroma, not a fan of the aftertaste. ngl I expected more. 👎"
199,male,199,45-64,199,A,199,Pretty good overall although I expected a stronger roast. Delivery was rly fast. 😊
200,female,200,65+,200,B,200,Super smooth taste. Delivery was really fast. 😋
201,female,201,18-24,201,B,201,My morning feels incomplete without it 😍
202,female,202,25-44,202,B,202,Taste is nice but it's a bit pricey. Delivery was really fast. 😕
203,female,203,45-64,203,B,203,Really enjoying Coffee X. Please introduce more roast options.
204,female,204,65+,204,A,204,Not as fresh as expected. Not bad at all tbh.
205,male,205,45-64,205,A,205,Amazing 😍
206,female,206,65+,206,A,206,10/10 ❤️ 👌
207,female,207,18-24,207,A,207,Way too expensive. Customer service was great too. 👎
208,male,208,18-24,208,B,208,Taste is kinda weak. Would love a decaf version. 😕
209,female,209,18-24,209,B,209,I'll definitely buy again. ngl I expected more. 😕
210,male,210,25-44,210,B,210,Not bad. 😍
211,female,211,25-44,211,A,211,The beans smell fantastic. 🤔
212,male,212,25-44,212,A,212,It's okay. 👌
213,female,213,18-24,213,A,213,Pretty good overall although I expected a stronger roast. Not bad at all tbh. ☕
214,female,214,65+,214,B,214,Wouldn't buy again. Not bad at all tbh.
215,male,215,45-64,215,B,215,Bit disappointed. imo it's one of the better brands. 👍
216,female,216,45-64,216,A,216,The beans smell fantastic
217,male,217,25-44,217,B,217,Best cofee I've had in a while. I drink it every morning.
218,female,218,45-64,218,A,218,Works great with milk but black cofee isn't my favourite. imo it's one of the better brands.
219,female,219,18-24,219,A,219,Didn't enjoy the aftertaste. Would recommend it to friends. 👍
220,male,220,25-44,220,A,220,Best cofee I've had in a while. Not bad at all tbh.
221,male,221,65+,221,A,221,Love this cofee 👍
222,male,222,18-24,222,B,222,Very balanced flavour. Not bad at all tbh. 😍
223,male,223,45-64,223,B,223,Coffee arrived stale
224,female,224,25-44,224,B,224,Super smooth taste. I drink it every morning. 👎
225,male,225,65+,225,B,225,Best coffe I've had in a while. 🤔
226,male,226,45-64,226,A,226,I'll definitely buy again. Would recommend it to friends. 👌
227,male,227,18-24,227,A,227,Love this coffee. Not bad at all tbh. 😍
228,female,228,65+,228,A,228,Too bitter for me. I drink it every morning. ❤️
229,female,229,65+,229,A,229,Love this coffee. Please introduce more roast options. 😅
230,male,230,45-64,230,A,230,I'll definitely buy again 👎
231,male,231,18-24,231,B,231,Yumm 😋 ☕
232,female,232,65+,232,B,232,Best cofee I've had in a while. 👍
233,female,233,25-44,233,B,233,Too bitter for me. Customer service was great too.
234,male,234,25-44,234,A,234,Bit disappointed. I drink it every morning. 😋
235,male,235,25-44,235,A,235,Really enjoying Coffee X. Please introduce more roast options. 🤔
236,male,236,65+,236,A,236,Super smooth taste. Delivery was really fast. ☕
237,female,237,65+,237,B,237,Way too expensive. Not bad at all tbh.
238,male,238,45-64,238,A,238,Expected better. 😕
239,male,239,65+,239,B,239,Really enjoying cofee X 😍
240,female,240,25-44,240,A,240,Best coffee I've had in a while. I drink it every morning. 👎
241,female,241,18-24,241,A,241,Expected better
242,female,242,25-44,242,A,242,10/10 ❤️ 😕
243,male,243,65+,243,B,243,Love it ☕
244,female,244,25-44,244,B,244,The beans smell fantastic. Customer service was great too. 👎
245,female,245,65+,245,B,245,Really enjoying Coffee X. Hope you keep the qualty consistent. 🤔
246,female,246,25-44,246,B,246,Wouldn't buy again. imo it's one of the better brands.
247,male,247,25-44,247,A,247,Works gr8 with milk but black coffee isn't my favourite. Customer service was gr8 too.
248,female,248,45-64,248,B,248,Amazing aroma. Delivery was really fast. ☕
249,female,249,45-64,249,A,249,I'll definitely buy again. Please introduce more roast options. 😕
250,female,250,65+,250,A,250,Taste is nice but it's a bit pricey. Would recommend it to friends. ☕
251,male,251,18-24,251,B,251,I'll definitely buy again. 😊
252,female,252,18-24,252,B,252,I'll definately buy again. Customer service was great too.
253,female,253,65+,253,B,253,The beans smell fantastic. I drink it every morning. 😕
254,male,254,25-44,254,B,254,Too bitter for me ☕
255,female,255,18-24,255,A,255,Amazing aroma. imo it's one of the better brands. ❤️
256,female,256,18-24,256,B,256,Taste is nice but it's a bit pricey. Would recommend it to friends. 😊
257,female,257,25-44,257,A,257,Taste is kinda weak 😍
258,female,258,45-64,258,A,258,Not as fresh as expected. ngl I expected more. ❤️
259,female,259,45-64,259,A,259,My morning feels incomplete without it. I drink it every morning.
260,male,260,45-64,260,A,260,I'll definitely buy again. Delivery was really fast.
261,female,261,65+,261,A,261,Very balanced flavour. Delivery was really fast.
262,male,262,45-64,262,B,262,I'll definetly buy again.
263,male,263,25-44,263,A,263,Best coffee I've had in a while. imo it's one of the better brands. 😅
264,female,264,45-64,264,B,264,Way too expensive. 🤔
265,female,265,25-44,265,A,265,Didn't enjoy the aftertaste. 😋
266,male,266,65+,266,A,266,Worth every penny. Delivery was really fast. 👌
267,male,267,45-64,267,B,267,Love this coffee. ngl I expected more. 🤔
268,female,268,65+,268,B,268,Super smooth taste. 😅
269,male,269,25-44,269,A,269,Very balanced flavour. Hope you keep the quality consistent.
270,female,270,45-64,270,B,270,Very balanced flavour. 😍
271,male,271,45-64,271,A,271,Works great with milk but black coffee isn't my favourite. Delivery was really fast. 😋
272,female,272,25-44,272,A,272,Best coffee I've had in a while. Not bad at all tbh. ☕
273,male,273,65+,273,A,273,Love this coffe Would recomend it to friends.
274,male,274,18-24,274,A,274,"Love the aroma, not a fan of the aftertaste. I drink it every morning."
275,male,275,18-24,275,B,275,realy enjoying Coffee X. Would recommend it to friends. 😊
276,female,276,18-24,276,A,276,Taste is nice but it's a bit pricey. Would recommend it to friends. 🤔
277,male,277,18-24,277,B,277,I'll definitely buy again. I drink it every morning. ☕
278,male,278,25-44,278,A,278,Worth every penny. Not bad at all tbh. 😅
279,male,279,25-44,279,A,279,Packaging could be better. Not bad at all tbh. 🤔
280,male,280,45-64,280,A,280,Amazing 😍 😋
281,male,281,65+,281,A,281,Could be better. 👎
282,male,282,65+,282,B,282,Best coffee I've had in a while. Please introduce more roast options. ☕
283,male,283,18-24,283,B,283,Bit disappointed. Would love a decaf version.
284,male,284,45-64,284,A,284,Worth every penny. I drink it every morning. 😕
285,female,285,18-24,285,A,285,Pretty good overall although I expected a stronger roast. Hope you keep the quality consistent. 😅
286,female,286,18-24,286,B,286,Taste is nice but it's a bit pricey. 😅
287,male,287,45-64,287,B,287,Coffee arrived stale. Customer service was great too. ☕
288,male,288,65+,288,A,288,It's okay. 😊
289,male,289,18-24,289,B,289,Best coffee I've had in a while. Please introduce more roast options. 👍
290,female,290,25-44,290,B,290,Worth every penny
291,female,291,25-44,291,A,291,Packaging looks premium but freshness could improve. Hope you keep the quality consistent. ❤️
292,male,292,25-44,292,B,292,The beans smell fantastic. imo it's one of the better brands. 👎
293,female,293,45-64,293,B,293,I'll definitely buy again. 😕
294,female,294,45-64,294,A,294,Wouldn't buy again. Not bad at all tbh. ❤️
295,female,295,25-44,295,A,295,I'll definitely buy again ☕
296,female,296,65+,296,B,296,Love it ☕ 😕
297,female,297,65+,297,B,297,Taste is kinda weak. Would recommend it to friends. 👍
298,female,298,18-24,298,A,298,Meh. ❤️
299,female,299,65+,299,B,299,My morning feels incomplete without it. Would recommend it to friends. 👌
300,female,300,25-44,300,B,300,Expected better. Delivery was really fast. 😋
301,female,301,65+,301,B,301,Really enjoying coffe X. ngl I expected more.
302,male,302,18-24,302,A,302,Amazing aroma. 😍
303,female,303,65+,303,A,303,Too bitter for me. Hope you keep the quality consistent. ☕
304,female,304,25-44,304,A,304,Pretty good overall although I expected a stronger roast.
305,female,305,65+,305,B,305,Amazing aroma. Delivery was realy fast.
306,female,306,25-44,306,B,306,Love this coffee. imo it's one of the better brands. 🤔
307,female,307,65+,307,A,307,Really enjoying Coffee X. imo it's one of the better brands. ☕
308,male,308,65+,308,A,308,Super smooth taste. imo it's one of the better brands. 😕
309,male,309,18-24,309,B,309,Bit disappointed. Would recommend it to friends. 😕
310,female,310,25-44,310,B,310,Best coffee I've had in a while ☕
311,male,311,45-64,311,A,311,The beans smell fantastic. I drink it every morning. 👍
312,male,312,25-44,312,B,312,realy enjoying Coffee X. 👌
313,male,313,18-24,313,B,313,Not as fesh as expected 😋
314,female,314,18-24,314,A,314,Taste is kinda weak. ❤️
315,female,315,45-64,315,A,315,The beans smell fantastic. Customer service was gr8 too.
316,male,316,25-44,316,B,316,I'll definitely buy again. Please introduce more roast options. ❤️
317,female,317,45-64,317,A,317,My morning feels incomplete without it. imo it's one of the better brands.
318,male,318,18-24,318,B,318,Best coffee I've had in a while. 😊
319,female,319,45-64,319,B,319,My morning feels incomplete without it. imo it's one of the better brands. 🤔
320,male,320,45-64,320,A,320,Not as fresh as expected. ngl I expected more. 😍
321,female,321,18-24,321,B,321,"Love the aroma, not a fan of the aftertaste. Customer service was great too. 😋"
322,female,322,65+,322,B,322,Best coffee I've had in a while. Would recommend it to friends.
323,male,323,65+,323,A,323,Taste is kinda weak. ngl I expected more. 😅
324,male,324,18-24,324,B,324,Best coffee I've had in a while. Would love a decaf version. 👌
325,female,325,65+,325,A,325,Works great with milk but black coffee isn't my favourite. I drink it every morning.
326,male,326,25-44,326,A,326,Too bitter for me. Please introduce more roast options. ❤️
327,male,327,18-24,327,B,327,Pretty good!
328,male,328,65+,328,B,328,Really enjoying cofee X.
329,male,329,18-24,329,A,329,Pretty good! 👎
330,female,330,25-44,330,B,330,Bit disappointed. Delivery was really fast. 👎
331,male,331,25-44,331,B,331,Pretty good overall although I expected a stronger roast. Not bad at all tbh. 🤔
332,female,332,45-64,332,A,332,Could be better. 🤔
333,male,333,25-44,333,A,333,Pretty good overall although I expected a stronger roast. Not bad at all tbh. 😋
334,female,334,65+,334,A,334,Really enjoying Coffee X. Customer service was great too.
335,male,335,45-64,335,A,335,Wouldn't buy again. ngl I expected more. 😍
336,male,336,18-24,336,A,336,Amazing aroma. Delivery was really fast.
337,female,337,45-64,337,B,337,Amazing aroma. 🤔
338,male,338,18-24,338,A,338,Way too expensive. 👌
339,female,339,18-24,339,B,339,Love this coffee. Please introduce more roast options. 😍
340,male,340,45-64,340,B,340,rly enjoying Coffee X. imo it's one of the better brands. 😋
341,female,341,25-44,341,B,341,Taste is kinda weak. Would recommend it to friends.
342,female,342,65+,342,A,342,Packaging could be better. Please introduce more roast options. 😕
343,male,343,45-64,343,A,343,Really enjoying Coffee X. 😋
344,male,344,18-24,344,A,344,Taste is kinda weak. 🤔
345,female,345,25-44,345,B,345,Wouldn't buy again. 😅
346,female,346,18-24,346,A,346,Didn't enjoy the aftertaste. imo it's one of the better brands. 👍
347,male,347,65+,347,A,347,Super smooth taste 😕
348,female,348,25-44,348,A,348,Best coffee I've had in a while. ngl I expected more.
349,female,349,18-24,349,B,349,Love this coffee. Would reccomend it to friends.
350,male,350,65+,350,A,350,"Love the aroma, not a fan of the aftertaste. Not bad at all tbh."
351,male,351,18-24,351,A,351,Bit disappointed. Not bad at all tbh.
352,female,352,25-44,352,B,352,Amazing 😍 👍
353,male,353,45-64,353,A,353,I'll definitely buy again. Would recommend it to friends.
354,male,354,18-24,354,A,354,Amazing aroma. ngl I expected more. 🤔
355,female,355,45-64,355,B,355,Works great with milk but black coffee isn't my favourite. 😋
356,female,356,65+,356,B,356,Taste is nice but it's a bit pricey. imo it's one of the better brands. 😊
357,male,357,65+,357,B,357,Love this coffee. Delivery was really fast. 😊
358,male,358,65+,358,A,358,Expected better. Not bad at all tbh.
359,female,359,45-64,359,B,359,Didn't enjoy the aftertaste. Not bad at all tbh. 🤔
360,female,360,18-24,360,B,360,My morning feels incomplete without it. Would recommend it to friends. 😊
361,male,361,65+,361,B,361,Worth every penny 😋
362,male,362,65+,362,B,362,Taste is kinda weak. imo it's one of the better brands. 🤔
363,male,363,65+,363,B,363,Taste is kinda weak ❤️
364,female,364,45-64,364,A,364,Taste is nice but it's a bit pricey. ngl I expected more.
365,male,365,18-24,365,A,365,Love it ☕ ☕
366,male,366,18-24,366,A,366,Best coffee I've had in a while. Would love a decaf version. 👎
367,female,367,45-64,367,B,367,Very balanced flavour. imo it's one of the better brands. 😅
368,male,368,45-64,368,B,368,Too bitter for me. Please introduce more roast options. 😕
369,female,369,45-64,369,B,369,Pretty good overall although I expected a stronger roast. ngl I expected more. ❤️
370,male,370,18-24,370,B,370,Very balanced flavour. Hope you keep the quality consistent. ❤️
371,male,371,45-64,371,B,371,Amazing aroma. Customer service was great too. 😍
372,female,372,25-44,372,B,372,Very balanced flavour. Not bad at all tbh.
373,male,373,65+,373,A,373,Love it ☕ 😋
374,female,374,65+,374,A,374,Not bad. 😊
375,female,375,18-24,375,B,375,The beans smell fantastic. Not bad at all tbh. 👎
376,male,376,25-44,376,A,376,Taste is kinda weak. Customer service was great too.
377,male,377,65+,377,A,377,Really enjoying Coffee X. Delivery was really fast.
378,female,378,65+,378,B,378,Packaging looks premium but freshness could improve. 😊
379,male,379,25-44,379,A,379,Expected better. Customer service was great too.
380,female,380,65+,380,B,380,Packaging looks premium but freshness could improve. Delivery was really fast.
381,male,381,18-24,381,A,381,Wouldn't buy again 🤔
382,male,382,65+,382,A,382,Coffee arrived stale. 👍
383,male,383,25-44,383,A,383,Packaging looks premium but freshness could improve. Please introduce more roast options. 👍
