35,female,25-44,A,I'll definitely buy again 😕
36,female,25-44,B,Taste is kinda weak. Delivery was really fast.
37,male,18-24,B,rly enjoying Coffee X. Delivery was really fast. 👌
38,female,65+,A,Packaging looks premium but freshness could improve. Would love a decaf version. 😕
39,female,45-64,A,Didn't enjoy the aftertaste. I drink it every morning. 😍
40,female,25-44,B,Best coffee I've had in a while 😅
41,male,18-24,B,Pretty good overall although I expected a stronger roast. 😕
42,male,45-64,B,The beans smell fantastic. ngl I expected more. 👎
43,male,45-64,A,Works great with milk but black coffee isn't my favourite. Not bad at all tbh. 😕
44,male,25-44,A,Coffee arrived stale. Please introduce more roast options.
45,female,25-44,B,coffe arrived stale. 😅
46,female,25-44,B,Works great with milk but black coffe isn't my favourite. Delivery was really fast.
47,female,18-24,A,Worth every penny. Hope you keep the quality consistent. 😅
48,female,25-44,A,I'll definitely buy again. Customer service was great too.
49,female,45-64,A,"Love the aroma, not a fan of the aftertaste. Hope you keep the quality consistent."
50,female,25-44,B,Too bitter for me. Hope you keep the qualty consistent.
51,female,45-64,B,Coffee arrived stale. ngl I expected more.
52,male,25-44,A,Not as fresh as expected. I drink it every morning. ❤️
53,female,18-24,B,Love it ☕ 👎
54,female,65+,B,Really enjoying Coffee X. I drink it every morning. 👍
55,female,18-24,B,Way too expensive. imo it's one of the better brands.
56,female,45-64,B,Bit disappointed. Would recommend it to friends. ❤️
57,male,18-24,A,Love this coffee. imo it's one of the better brands. ❤️
58,female,25-44,A,The beans smell fantastic. I drink it every morning.
59,female,25-44,A,Didn't enjoy the aftertaste. Hope you keep the qualty consistent.
60,male,18-24,B,Best coffee I've had in a while ❤️
61,female,25-44,A,Bit disappointed. ngl I expected more. ❤️
62,female,45-64,B,Not as fresh as expected. Please introduce more roast options. 👍
63,male,18-24,A,Really enjoying Coffee X. I drink it every morning.
64,female,18-24,A,The beans smell fantastic. Would recommend it to friends. 😕
65,male,18-24,A,Taste is nice but it's a bit pricey. Would recommend it to friends. ❤️
66,female,25-44,B,Packaging looks premium but freshness could improve. 😋
67,male,45-64,B,Didn't enjoy the aftertaste. Delivery was really fast. ❤️
68,female,25-44,B,My morning feels incomplete without it. ngl I expected more. 😋
69,female,25-44,B,Wouldn't buy again. ngl I expected more.
70,male,65+,B,Expected better. Hope you keep the quality consistent.
71,female,18-24,A,Very balanced flavour. ngl I expected more. ☕
72,female,45-64,A,Not as fresh as expected. Delivery was really fast. ❤️
73,female,18-24,B,Works gr8 with milk but black cofee isn't my favourite. Hope you keep the quality consistent.
74,male,25-44,A,Amazing aroma. 👌
75,male,65+,A,My morning feels incomplete without it. Not bad at all tbh. 👍
76,male,45-64,B,Very balanced flavour. Customer service was gr8 too.
77,female,65+,A,realy enjoying Coffee X. Not bad at all tbh.
78,male,18-24,A,The beans smell fantastic. Would love a decaf version. 👍
79,female,45-64,B,Love it ☕ 🤔
80,female,18-24,B,Amazing 😍 😍
81,female,45-64,B,Really enjoying Coffee X. Hope you keep the quality consistent. 😅
82,female,45-64,B,Works great with milk but black cofee isn't my favourite.
83,male,18-24,B,Too bitter for me 😅
84,female,65+,A,Amazing 😍 😊
85,female,45-64,B,Coffee arrived stale 😋
86,male,18-24,A,"Love the aroma, not a fan of the aftertaste. Not bad at all tbh. 😍"
87,male,45-64,A,I'll definitely buy again. imo it's one of the better brands. 🤔
88,female,45-64,A,Pretty good overall although I expected a stronger roast. 😍
89,male,45-64,B,Taste is nice but it's a bit pricey. Customer service was great too. 👍
90,male,65+,A,Very balanced flavour 🤔
91,female,45-64,B,Bit disappointed. I drink it every morning. 🤔
92,female,65+,A,Too expensive 😕 😍
93,female,65+,B,I'll definitely buy again. I drink it every morning. 🤔
94,female,45-64,A,coffe arrived stale. imo it's one of the better brands.
95,female,45-64,B,It's okay. 😅
96,female,25-44,A,Pretty good overall although I expected a stronger roast. Delivery was really fast.
97,female,45-64,A,Amazing aroma. Would recommend it to friends. ❤️
98,male,65+,A,Way too expensive. ngl I expected more.
99,female,25-44,A,Works gr8 with milk but black coffee isn't my favourite. ❤️
100,male,25-44,A,Best coffee I've had in a while. ngl I expected more. 😍
101,male,45-64,B,Not bad. ☕
102,female,18-24,A,Packaging looks premium but freshness could improve. 😅
103,female,25-44,A,Wouldn't buy again. Please introduce more roast options.
104,female,25-44,B,I'll definitely buy again. Not bad at all tbh. 🤔
105,female,45-64,B,Love this coffee. imo it's one of the better brands. 😊
106,female,45-64,B,"Love the aroma, not a fan of the aftertaste. Would recommend it to friends."
107,female,18-24,B,I'll definitely buy again. ❤️
108,female,18-24,A,Way too expensive. Hope you keep the quality consistent. 😋
109,female,18-24,A,Amazing aroma. 👎
110,female,18-24,B,Really enjoying Coffee X. imo it's one of the better brands. 👎
111,female,65+,A,Not as fresh as expected. Hope you keep the quality consistent.
112,male,45-64,A,Works gr8 with milk but black coffee isn't my favourite. I drink it every morning. ☕
113,female,25-44,B,My morning feels incomplete without it 😋
114,male,18-24,B,Love this coffee. I drink it every morning. ❤️
115,female,18-24,B,Pretty good! 🤔
116,male,45-64,B,Very balanced flavour. Would recommend it to friends. 😋
117,male,18-24,A,Taste is kinda weak. Would love a decaf version. 👌
118,male,18-24,B,I'll definitely buy again. Not bad at all tbh. 😅
119,female,25-44,A,Very balanced flavour. Please introduce more roast options.
120,male,18-24,A,Didn't enjoy the aftertaste 😅
121,female,65+,B,Amazing 😍 ❤️
122,male,45-64,B,Taste is nice but it's a bit pricey. 👌
123,female,25-44,A,Amazing aroma 🤔
124,female,65+,A,Amazing 😍 😕
125,female,65+,B,Expected better. 🤔
126,male,18-24,B,The beans smell fantastic. Would reccomend it to friends. ☕
127,female,65+,B,Works gr8 with milk but black coffee isn't my favourite. 👍
128,male,65+,B,Taste is kinda weak. Customer service was great too. 🤔
129,female,25-44,A,Taste is nice but it's a bit pricey. 👍
130,female,45-64,A,Really enjoying Coffee X. Not bad at all tbh. 😅
131,female,65+,B,Didn't enjoy the aftertaste. Customer service was great too.
132,female,65+,A,Taste is nice but it's a bit pricey. Would recommend it to friends. 😍
133,male,18-24,B,Bit disappointed. Hope you keep the quality consistent. 👍
134,female,18-24,B,Expected better. Customer service was great too. 😅
135,male,65+,A,Best cofee I've had in a while 😕
136,male,65+,A,Packaging looks premium but freshness could improve. Would love a decaf version. 👌
137,female,65+,B,Didn't enjoy the aftertaste. Please introduce more roast options. 😋
138,female,65+,B,"Love the aroma, not a fan of the aftertaste. Please introduce more roast options. 😅"
139,female,45-64,A,Not as fesh as expected. Not bad at all tbh. ❤️
140,male,25-44,B,realy enjoying Coffee X. Please introduce more roast options.
141,female,65+,B,"Love the aroma, not a fan of the aftertaste. Would love a decaf version. 😋"
142,female,18-24,B,I'll definitely buy again 😅
143,male,65+,B,Really enjoying coffe X. Would recommend it to friends.
144,male,45-64,A,Expected better. ❤️
145,female,25-44,A,Best coffee I've had in a while. Customer service was great too.
146,female,18-24,A,Very balanced flavour 😋
147,female,25-44,A,I'll definitely buy again ❤️
148,female,65+,B,Too bitter for me. Not bad at all tbh. 😕
149,female,65+,A,Really enjoying Coffee X. Delivery was really fast. 😍
150,male,18-24,B,Coffee arrived stale. I drink it every morning.
151,male,25-44,B,Best cofee I've had in a while. Delivery was really fast. 👍
152,female,25-44,A,Worth every penny. ngl I expected more. 😕
153,female,18-24,B,Bit disappointed. Would recommend it to friends. 👎
154,male,65+,B,Love this cofee Please introduce more roast options.
155,female,45-64,A,Love this coffee 😊
156,male,25-44,A,Best cofee I've had in a while. Customer service was gr8 too.
157,male,25-44,B,Packaging could be better. Hope you keep the qualty consistent. 😊
158,male,18-24,B,Wouldn't buy again. ngl I expected more. ☕
159,male,65+,B,Works gr8 with milk but black coffee isn't my favourite. I drink it every morning.
160,female,25-44,B,Taste is nice but it's a bit pricey. Would love a decaf version. ☕
161,male,45-64,B,Pretty good overall although I expected a stronger roast. Would recommend it to friends. 🤔
162,female,45-64,A,Too expensive 😕 👍
163,male,65+,B,Taste is kinda weak 👍
164,female,65+,A,Taste is nice but it's a bit pricey. 👎
165,male,65+,A,Pretty good overall although I expected a stronger roast. Please introduce more roast options. 😅
166,male,65+,B,Too expensive 😕 😊
167,female,18-24,A,I'll definitely buy again. Not bad at all tbh.
168,female,18-24,A,Too bitter for me. ngl I expected more. 😅
169,male,65+,A,Coffee arrived stale. Would love a decaf version. 😊
170,female,18-24,B,Worth every penny. I drink it every morning.
171,female,45-64,B,Really enjoying coffe X
172,female,18-24,A,Expected better. imo it's one of the better brands. 😋
173,female,25-44,A,Packaging looks premium but freshness could improve. imo it's one of the better brands.
174,male,45-64,A,Amazing 😍 🤔
175,female,65+,B,The beans smell fantastic. 😕
176,male,45-64,A,The beans smell fantastic. ngl I expected more. 😋
177,female,25-44,A,Best coffee I've had in a while. Customer service was great too. 👎
178,male,65+,A,Not as fresh as expected. 😅
179,male,65+,A,Amazing aroma. Hope you keep the quality consistent. ❤️
180,male,18-24,B,Really enjoying Coffee X. ngl I expected more. 👌
181,male,25-44,B,Worth every penny. I drink it every morning. ☕
182,male,18-24,A,Packaging could be better. Delivery was rly fast.
183,male,65+,B,Really enjoying Coffee X. Not bad at all tbh. 😕
184,female,18-24,A,Bit disappointed. Please introduce more roast options. 👌
185,male,45-64,B,Expected better. Not bad at all tbh. ❤️
186,male,65+,B,Works great with milk but black coffee isn't my favourite. Would recommend it to friends.
187,female,45-64,A,Best coffee I've had in a while. Please introduce more roast options.
188,female,25-44,A,Expected better. Please introduce more roast options. 😍
189,male,65+,A,Wouldn't buy again. Would love a decaf version.
190,female,18-24,A,Amazing 😍 👌
191,female,45-64,B,"Love the aroma, not a fan of the aftertaste."
192,male,18-24,B,Too bitter for me. Not bad at all tbh. 👌
193,female,45-64,B,Worth every penny. Customer service was great too. 😅
194,female,25-44,A,The beans smell fantastic. 👍
195,female,25-44,B,"Love the aroma, not a fan of the aftertaste. Please introduce more roast options. 😕"
196,female,18-24,B,Really enjoying Coffee X. 😅
197,female,18-24,B,Bit disappointed. imo it's one of the better brands.
198,male,45-64,B,Worth every penny. Please introduce more roast options.
199,female,45-64,B,"Love the aroma, not a fan of the aftertaste. ngl I expected more. 👎"
200,male,45-64,A,Pretty good overall although I expected a stronger roast. Delivery was rly fast. 😊
201,female,65+,B,Super smooth taste. Delivery was really fast. 😋
202,female,18-24,B,My morning feels incomplete without it 😍
203,female,25-44,B,Taste is nice but it's a bit pricey. Delivery was really fast. 😕
204,female,45-64,B,Really enjoying Coffee X. Please introduce more roast options.
205,female,65+,A,Not as fresh as expected. Not bad at all tbh.
206,male,45-64,A,Amazing 😍
207,female,65+,A,10/10 ❤️ 👌
208,female,18-24,A,Way too expensive. Customer service was great too. 👎
209,male,18-24,B,Taste is kinda weak. Would love a decaf version. 😕
210,female,18-24,B,I'll definitely buy again. ngl I expected more. 😕
211,male,25-44,B,Not bad. 😍
212,female,25-44,A,The beans smell fantastic. 🤔
213,male,25-44,A,It's okay. 👌
214,female,18-24,A,Pretty good overall although I expected a stronger roast. Not bad at all tbh. ☕
215,female,65+,B,Wouldn't buy again. Not bad at all tbh.
216,male,45-64,B,Bit disappointed. imo it's one of the better brands. 👍
217,female,45-64,A,The beans smell fantastic
218,male,25-44,B,Best cofee I've had in a while. I drink it every morning.
219,female,45-64,A,Works great with milk but black cofee isn't my favourite. imo it's one of the better brands.
220,female,18-24,A,Didn't enjoy the aftertaste. Would recommend it to friends. 👍
221,male,25-44,A,Best cofee I've had in a while. Not bad at all tbh.
222,male,65+,A,Love this cofee 👍
223,male,18-24,B,Very balanced flavour. Not bad at all tbh. 😍
224,male,45-64,B,Coffee arrived stale
225,female,25-44,B,Super smooth taste. I drink it every morning. 👎
226,male,65+,B,Best coffe I've had in a while. 🤔
227,male,45-64,A,I'll definitely buy again. Would recommend it to friends. 👌
228,male,18-24,A,Love this coffee. Not bad at all tbh. 😍
229,female,65+,A,Too bitter for me. I drink it every morning. ❤️
230,female,65+,A,Love this coffee. Please introduce more roast options. 😅
231,male,45-64,A,I'll definitely buy again 👎
232,male,18-24,B,Yumm 😋 ☕
233,female,65+,B,Best cofee I've had in a while. 👍
234,female,25-44,B,Too bitter for me. Customer service was great too.
235,male,25-44,A,Bit disappointed. I drink it every morning. 😋
236,male,25-44,A,Really enjoying Coffee X. Please introduce more roast options. 🤔
237,male,65+,A,Super smooth taste. Delivery was really fast. ☕
238,female,65+,B,Way too expensive. Not bad at all tbh.
239,male,45-64,A,Expected better. 😕
240,male,65+,B,Really enjoying cofee X 😍
241,female,25-44,A,Best coffee I've had in a while. I drink it every morning. 👎
242,female,18-24,A,Expected better
243,female,25-44,A,10/10 ❤️ 😕
244,male,65+,B,Love it ☕
245,female,25-44,B,The beans smell fantastic. Customer service was great too. 👎
246,female,65+,B,Really enjoying Coffee X. Hope you keep the qualty consistent. 🤔
247,female,25-44,B,Wouldn't buy again. imo it's one of the better brands.
248,male,25-44,A,Works gr8 with milk but black coffee isn't my favourite. Customer service was gr8 too.
249,female,45-64,B,Amazing aroma. Delivery was really fast. ☕
250,female,45-64,A,I'll definitely buy again. Please introduce more roast options. 😕
251,female,65+,A,Taste is nice but it's a bit pricey. Would recommend it to friends. ☕
252,male,18-24,B,I'll definitely buy again. 😊
253,female,18-24,B,I'll definately buy again. Customer service was great too.
254,female,65+,B,The beans smell fantastic. I drink it every morning. 😕
255,male,25-44,B,Too bitter for me ☕
256,female,18-24,A,Amazing aroma. imo it's one of the better brands. ❤️
257,female,18-24,B,Taste is nice but it's a bit pricey. Would recommend it to friends. 😊
258,female,25-44,A,Taste is kinda weak 😍
259,female,45-64,A,Not as fresh as expected. ngl I expected more. ❤️
260,female,45-64,A,My morning feels incomplete without it. I drink it every morning.
261,male,45-64,A,I'll definitely buy again. Delivery was really fast.
262,female,65+,A,Very balanced flavour. Delivery was really fast.
263,male,45-64,B,I'll definetly buy again.
264,male,25-44,A,Best coffee I've had in a while. imo it's one of the better brands. 😅
265,female,45-64,B,Way too expensive. 🤔
266,female,25-44,A,Didn't enjoy the aftertaste. 😋
267,male,65+,A,Worth every penny. Delivery was really fast. 👌
268,male,45-64,B,Love this coffee. ngl I expected more. 🤔
269,female,65+,B,Super smooth taste. 😅
270,male,25-44,A,Very balanced flavour. Hope you keep the quality consistent.
271,female,45-64,B,Very balanced flavour. 😍
272,male,45-64,A,Works great with milk but black coffee isn't my favourite. Delivery was really fast. 😋
273,female,25-44,A,Best coffee I've had in a while. Not bad at all tbh. ☕
274,male,65+,A,Love this coffe Would recomend it to friends.
275,male,18-24,A,"Love the aroma, not a fan of the aftertaste. I drink it every morning."
276,male,18-24,B,realy enjoying Coffee X. Would recommend it to friends. 😊
277,female,18-24,A,Taste is nice but it's a bit pricey. Would recommend it to friends. 🤔
278,male,18-24,B,I'll definitely buy again. I drink it every morning. ☕
279,male,25-44,A,Worth every penny. Not bad at all tbh. 😅
280,male,25-44,A,Packaging could be better. Not bad at all tbh. 🤔
281,male,45-64,A,Amazing 😍 😋
282,male,65+,A,Could be better. 👎
283,male,65+,B,Best coffee I've had in a while. Please introduce more roast options. ☕
284,male,18-24,B,Bit disappointed. Would love a decaf version.
285,male,45-64,A,Worth every penny. I drink it every morning. 😕
286,female,18-24,A,Pretty good overall although I expected a stronger roast. Hope you keep the quality consistent. 😅
287,female,18-24,B,Taste is nice but it's a bit pricey. 😅
288,male,45-64,B,Coffee arrived stale. Customer service was great too. ☕
289,male,65+,A,It's okay. 😊
290,male,18-24,B,Best coffee I've had in a while. Please introduce more roast options. 👍
291,female,25-44,B,Worth every penny
292,female,25-44,A,Packaging looks premium but freshness could improve. Hope you keep the quality consistent. ❤️
293,male,25-44,B,The beans smell fantastic. imo it's one of the better brands. 👎
294,female,45-64,B,I'll definitely buy again. 😕
295,female,45-64,A,Wouldn't buy again. Not bad at all tbh. ❤️
296,female,25-44,A,I'll definitely buy again ☕
297,female,65+,B,Love it ☕ 😕
298,female,65+,B,Taste is kinda weak. Would recommend it to friends. 👍
299,female,18-24,A,Meh. ❤️
300,female,65+,B,My morning feels incomplete without it. Would recommend it to friends. 👌
301,female,25-44,B,Expected better. Delivery was really fast. 😋
302,female,65+,B,Really enjoying coffe X. ngl I expected more.
303,male,18-24,A,Amazing aroma. 😍
304,female,65+,A,Too bitter for me. Hope you keep the quality consistent. ☕
305,female,25-44,A,Pretty good overall although I expected a stronger roast.
306,female,65+,B,Amazing aroma. Delivery was realy fast.
307,female,25-44,B,Love this coffee. imo it's one of the better brands. 🤔
308,female,65+,A,Really enjoying Coffee X. imo it's one of the better brands. ☕
309,male,65+,A,Super smooth taste. imo it's one of the better brands. 😕
310,male,18-24,B,Bit disappointed. Would recommend it to friends. 😕
311,female,25-44,B,Best coffee I've had in a while ☕
312,male,45-64,A,The beans smell fantastic. I drink it every morning. 👍
313,male,25-44,B,realy enjoying Coffee X. 👌
314,male,18-24,B,Not as fesh as expected 😋
315,female,18-24,A,Taste is kinda weak. ❤️
316,female,45-64,A,The beans smell fantastic. Customer service was gr8 too.
317,male,25-44,B,I'll definitely buy again. Please introduce more roast options. ❤️
318,female,45-64,A,My morning feels incomplete without it. imo it's one of the better brands.
319,male,18-24,B,Best coffee I've had in a while. 😊
320,female,45-64,B,My morning feels incomplete without it. imo it's one of the better brands. 🤔
321,male,45-64,A,Not as fresh as expected. ngl I expected more. 😍
322,female,18-24,B,"Love the aroma, not a fan of the aftertaste. Customer service was great too. 😋"
323,female,65+,B,Best coffee I've had in a while. Would recommend it to friends.
324,male,65+,A,Taste is kinda weak. ngl I expected more. 😅
325,male,18-24,B,Best coffee I've had in a while. Would love a decaf version. 👌
326,female,65+,A,Works great with milk but black coffee isn't my favourite. I drink it every morning.
327,male,25-44,A,Too bitter for me. Please introduce more roast options. ❤️
328,male,18-24,B,Pretty good!
329,male,65+,B,Really enjoying cofee X.
330,male,18-24,A,Pretty good! 👎
331,female,25-44,B,Bit disappointed. Delivery was really fast. 👎
332,male,25-44,B,Pretty good overall although I expected a stronger roast. Not bad at all tbh. 🤔
333,female,45-64,A,Could be better. 🤔
334,male,25-44,A,Pretty good overall although I expected a stronger roast. Not bad at all tbh. 😋
335,female,65+,A,Really enjoying Coffee X. Customer service was great too.
336,male,45-64,A,Wouldn't buy again. ngl I expected more. 😍
337,male,18-24,A,Amazing aroma. Delivery was really fast.
338,female,45-64,B,Amazing aroma. 🤔
339,male,18-24,A,Way too expensive. 👌
340,female,18-24,B,Love this coffee. Please introduce more roast options. 😍
341,male,45-64,B,rly enjoying Coffee X. imo it's one of the better brands. 😋
342,female,25-44,B,Taste is kinda weak. Would recommend it to friends.
343,female,65+,A,Packaging could be better. Please introduce more roast options. 😕
344,male,45-64,A,Really enjoying Coffee X. 😋
345,male,18-24,A,Taste is kinda weak. 🤔
346,female,25-44,B,Wouldn't buy again. 😅
347,female,18-24,A,Didn't enjoy the aftertaste. imo it's one of the better brands. 👍
348,male,65+,A,Super smooth taste 😕
349,female,25-44,A,Best coffee I've had in a while. ngl I expected more.
350,female,18-24,B,Love this coffee. Would reccomend it to friends.
351,male,65+,A,"Love the aroma, not a fan of the aftertaste. Not bad at all tbh."
352,male,18-24,A,Bit disappointed. Not bad at all tbh.
353,female,25-44,B,Amazing 😍 👍
354,male,45-64,A,I'll definitely buy again. Would recommend it to friends.
355,male,18-24,A,Amazing aroma. ngl I expected more. 🤔
356,female,45-64,B,Works great with milk but black coffee isn't my favourite. 😋
357,female,65+,B,Taste is nice but it's a bit pricey. imo it's one of the better brands. 😊
358,male,65+,B,Love this coffee. Delivery was really fast. 😊
359,male,65+,A,Expected better. Not bad at all tbh.
360,female,45-64,B,Didn't enjoy the aftertaste. Not bad at all tbh. 🤔
361,female,18-24,B,My morning feels incomplete without it. Would recommend it to friends. 😊
362,male,65+,B,Worth every penny 😋
363,male,65+,B,Taste is kinda weak. imo it's one of the better brands. 🤔
364,male,65+,B,Taste is kinda weak ❤️
365,female,45-64,A,Taste is nice but it's a bit pricey. ngl I expected more.
366,male,18-24,A,Love it ☕ ☕
367,male,18-24,A,Best coffee I've had in a while. Would love a decaf version. 👎
368,female,45-64,B,Very balanced flavour. imo it's one of the better brands. 😅
369,male,45-64,B,Too bitter for me. Please introduce more roast options. 😕
370,female,45-64,B,Pretty good overall although I expected a stronger roast. ngl I expected more. ❤️
371,male,18-24,B,Very balanced flavour. Hope you keep the quality consistent. ❤️
372,male,45-64,B,Amazing aroma. Customer service was great too. 😍
373,female,25-44,B,Very balanced flavour. Not bad at all tbh.
374,male,65+,A,Love it ☕ 😋
375,female,65+,A,Not bad. 😊
376,female,18-24,B,The beans smell fantastic. Not bad at all tbh. 👎
377,male,25-44,A,Taste is kinda weak. Customer service was great too.
378,male,65+,A,Really enjoying Coffee X. Delivery was really fast.
379,female,65+,B,Packaging looks premium but freshness could improve. 😊
380,male,25-44,A,Expected better. Customer service was great too.
381,female,65+,B,Packaging looks premium but freshness could improve. Delivery was really fast.
382,male,18-24,A,Wouldn't buy again 🤔
383,male,65+,A,Coffee arrived stale. 👍
384,male,25-44,A,Packaging looks premium but freshness could improve. Please introduce more roast options. 👍
385,female,45-64,A,Works gr8 with milk but black coffe isn't my favourite. Would recommend it to friends.
386,female,18-24,B,Taste is nice but it's a bit pricey. ngl I expected more. ❤️
387,female,45-64,B,The beans smell fantastic. Hope you keep the qualty consistent.
388,male,25-44,B,I'll definitely buy again. Hope you keep the quality consistent. 😋
389,female,45-64,B,"Love the aroma, not a fan of the aftertaste. Customer service was great too. 😕"
390,female,18-24,A,Not as fresh as expected. Customer service was great too. 👎
391,male,18-24,B,Didn't enjoy the aftertaste. ngl I expected more.
392,male,45-64,B,Not bad. 😋
393,female,25-44,B,Taste is nice but it's a bit pricey. I drink it every morning.
394,female,45-64,B,Love this coffee. imo it's one of the better brands. 👌
395,male,65+,A,Taste is nice but it's a bit pricey. Delivery was really fast. 😋
396,male,65+,B,Taste is nice but it's a bit pricey. I drink it every morning. ❤️
397,male,45-64,B,Packaging could be better. ngl I expected more. ❤️
398,female,45-64,A,Works great with milk but black coffee isn't my favourite. 😍
399,female,18-24,A,Really enjoying Coffee X. Would love a decaf version. 😅
400,male,25-44,B,Too bitter for me. Customer service was great too. 👌
401,male,65+,A,Taste is kinda weak.
402,male,45-64,A,Really enjoying Coffee X. 😍
403,female,25-44,B,Way too expensive. Would love a decaf version. ❤️
404,female,18-24,A,Amazing aroma. Please introduce more roast options.
405,male,25-44,B,"Love the aroma, not a fan of the aftertaste. Would love a decaf version. 😅"
406,male,45-64,A,Worth every penny. Would recommend it to friends.
407,female,18-24,A,Bit disappointed. 😊
408,female,25-44,B,Very balanced flavour. Would love a decaf version. 🤔
409,male,18-24,B,Works great with milk but black cofee isn't my favourite. Not bad at all tbh.
410,male,45-64,B,Pretty good overall although I expected a stronger roast. Please introduce more roast options. 🤔
411,male,25-44,A,Really enjoying cofee X. imo it's one of the better brands. ❤️
412,female,18-24,A,Packaging could be better
413,male,25-44,B,Taste is nice but it's a bit pricey. Delivery was really fast.
414,female,25-44,B,Really enjoying Coffee X. I drink it every morning. 😅
415,female,65+,A,Way too expensive. Would love a decaf version. 😋
416,female,25-44,B,Really enjoying cofee X. 😊
417,male,45-64,A,Amazing aroma 👌
418,male,65+,B,Works great with milk but black coffee isn't my favourite. Not bad at all tbh. 😊
419,female,25-44,B,Pretty good overall although I expected a stronger roast. Not bad at all tbh.
420,female,18-24,A,cofee arrived stale. Would recommend it to friends.
421,female,45-64,A,Pretty good overall although I expected a stronger roast. Would love a decaf version.
422,female,18-24,A,Taste is kinda weak ☕
423,female,18-24,A,Coffee arrived stale. imo it's one of the better brands.
424,female,18-24,A,Packaging looks premium but freshness could improve. ngl I expected more. 😍
425,female,65+,B,Taste is kinda weak. 😅
426,male,45-64,A,Worth every penny. Would recommend it to friends. 🤔
427,female,18-24,B,Pretty good overall although I expected a stronger roast. ngl I expected more.
428,male,65+,A,My morning feels incomplete without it. 😅
429,female,25-44,A,Best coffee I've had in a while 😍
430,male,18-24,B,My morning feels incomplete without it. 👌
431,male,65+,A,Didn't enjoy the aftertaste. Would love a decaf version.
432,male,18-24,B,"Love the aroma, not a fan of the aftertaste. imo it's one of the better brands."
433,female,25-44,A,Pretty good! 😅
434,male,25-44,A,Too bitter for me. Customer service was great too. 😋
435,male,25-44,A,Love this coffee. ngl I expected more. 👌
436,male,18-24,A,Worth every penny.
437,female,25-44,B,Worth every penny ❤️
438,female,45-64,B,Worth every penny. 🤔
439,male,65+,B,I'll definitely buy again. Would love a decaf version.
440,male,65+,B,Works great with milk but black coffee isn't my favourite. Delivery was really fast. 😍
441,female,65+,B,Works great with milk but black coffee isn't my favourite. Delivery was really fast.
442,male,45-64,B,Best coffee I've had in a while. 👌
443,male,25-44,A,Packaging looks premium but freshness could improve. Hope you keep the quality consistent.
444,male,45-64,A,Packaging could be better ❤️
445,male,45-64,A,Taste is nice but it's a bit pricey. 😍
446,female,25-44,B,Packaging looks premium but freshness could improve. Customer service was great too. 😅
447,male,45-64,A,Love this coffee. Customer service was gr8 too. 😊
448,female,45-64,A,Bit disappointed. ❤️
449,female,65+,B,Pretty good overall although I expected a stronger roast. Delivery was really fast. 👎
450,female,25-44,B,Very balanced flavour. Would love a decaf version.
451,male,45-64,A,Very balanced flavour. Hope you keep the quality consistent. 👍
452,male,45-64,B,Bit disappointed. Hope you keep the quality consistent. 😕
453,female,25-44,B,Way too expensive. I drink it every morning.
454,male,45-64,B,Best coffe I've had in a while. Hope you keep the quality consistent.
455,female,18-24,B,Taste is nice but it's a bit pricey. 🤔
456,male,45-64,A,Didn't enjoy the aftertaste 😋
457,female,18-24,A,Love this coffee 👎
458,male,25-44,A,The beans smell fantastic. imo it's one of the better brands.
