RespondentID,Feedback
60,Very balanced flavour. Please introduce more roast options.
61,Worth every penny. Please introduce more roast options.
62,Really enjoying Coffee X. Would love a decaf version. 👌
63,Love this coffe Not bad at all tbh.
64,"Love the aroma, not a fan of the aftertaste. I drink it every morning."
65,Amazing 😍
66,Packaging looks premium but freshness could improve. 😋
67,Worth every penny. Hope you keep the qualty consistent.
68,Best coffee I've had in a while. Would love a decaf version. 👎
69,Really enjoying coffe X.
70,Works great with milk but black coffee isn't my favourite. Please introduce more roast options.
71,Very balanced flavour. I drink it every morning. 👎
72,"Love the aroma, not a fan of the aftertaste."
73,Amazing aroma. Would recommend it to friends.
74,Works gr8 with milk but black coffee isn't my favourite. Hope you keep the quality consistent. 👌
75,"Love the aroma, not a fan of the aftertaste. Customer service was great too."
76,Love this coffee 👎
77,Expected better. 🤔
78,The beans smell fantastic. imo it's one of the better brands.
79,Taste is nice but it's a bit pricey.
80,Very balanced flavour. Would recommend it to friends. 👍
81,Yumm 😋
82,Packaging looks premium but freshness could improve. Would love a decaf version. 😕
83,10/10 ❤️
84,Taste is nice but it's a bit pricey. I drink it every morning. ☕
85,Didn't enjoy the aftertaste
86,Love this coffee. Please introduce more roast options. 😅
87,Taste is nice but it's a bit pricey. Not bad at all tbh.
88,Best coffee I've had in a while. I drink it every morning.
89,Taste is kinda weak. Hope you keep the qualty consistent.
90,Amazing aroma. ngl I expected more. 😕
91,Taste is nice but it's a bit pricey. ngl I expected more.
92,Amazing aroma. ngl I expected more. 🤔
93,Amazing aroma. imo it's one of the better brands. ☕
94,It's okay.
95,The beans smell fantastic
96,Really enjoying Coffee X.
97,Wouldn't buy again
98,Too expensive 😕
99,realy enjoying Coffee X. Please introduce more roast options.
100,Expected better. Not bad at all tbh. ☕
101,Worth every penny. I drink it every morning.
102,Really enjoying Coffee X. Would love a decaf version.
103,The beans smell fantastic. Would recommend it to friends. ☕
104,Packaging could be better. Delivery was really fast. 👌
105,Expected better.
106,I'll definitely buy again. I drink it every morning.
107,Really enjoying Coffee X. ngl I expected more.
108,Very balanced flavour. I drink it every morning.
109,My morning feels incomplete without it
110,Very balanced flavour. Would recommend it to friends.
111,Taste is nice but it's a bit pricey. 😊
112,Best coffee I've had in a while. imo it's one of the better brands.
113,I'll definitely buy again. 😋
114,Taste is kinda weak. ngl I expected more.
115,Amazing aroma. Delivery was really fast.
116,My morning feels incomplete without it. Customer service was great too. 😍
117,Not as fresh as expected 😋
118,Meh. 😍
119,I'll definitely buy again
120,Worth every penny
121,Too bitter for me
122,Could be better.
123,Taste is kinda weak.
124,Taste is nice but it's a bit pricey. Delivery was really fast.
125,Amazing aroma. Hope you keep the quality consistent.
126,Packaging looks premium but freshness could improve. 😅
127,Amazing aroma. Please introduce more roast options.
128,Really enjoying Coffee X. Hope you keep the quality consistent.
129,My morning feels incomplete without it 😊
130,realy enjoying Coffee X. Not bad at all tbh.
131,Really enjoying Coffee X. ❤️
132,Packaging looks premium but freshness could improve. Would love a decaf version.
133,The beans smell fantastic. Please introduce more roast options.
134,Amazing aroma. Please introduce more roast options. 😍
135,Taste is kinda weak 😍
136,Taste is nice but it's a bit pricey. 👍
137,Works gr8 with milk but black coffee isn't my favourite. I drink it every morning.
138,Works great with milk but black coffee isn't my favourite. Not bad at all tbh.
139,Pretty good overall although I expected a stronger roast. imo it's one of the better brands.
140,Best coffee I've had in a while. 😋
141,Super smooth taste. I drink it every morning.
142,Best coffee I've had in a while. Customer service was gr8 too.
143,The beans smell fantastic. Delivery was really fast.
144,Love this coffe Would recommend it to friends.
145,Very balanced flavour 👌
146,Packaging looks premium but freshness could improve. Delivery was really fast.
147,I'll definitely buy again. Customer service was great too.
148,Very balanced flavour. ☕
149,Packaging looks premium but freshness could improve. imo it's one of the better brands. 😕
150,Super smooth taste. Hope you keep the quality consistent.
151,realy enjoying Coffee X. Customer service was great too. 🤔
152,Packaging looks premium but freshness could improve. Hope you keep the quality consistent. 👌
153,Expected better. Hope you keep the quality consistent.
154,Taste is kinda weak. Would love a decaf version. 😕
155,Very balanced flavour. ngl I expected more. ☕
156,Love it ☕
157,Packaging looks premium but freshness could improve. Not bad at all tbh.
158,Works great with milk but black coffee isn't my favourite. Would love a decaf version.
159,Very balanced flavour. Delivery was really fast.
160,Not as fresh as expected. Customer service was great too. 😋
161,Not as fresh as expected. Customer service was great too.
162,The beans smell fantastic. Not bad at all tbh. 👎
163,My morning feels incomplete without it. 😋
164,Expected better. 😅
165,I'll definitely buy again. Not bad at all tbh.
166,Way too expensive. Delivery was really fast. ☕
167,Very balanced flavour. 😕
168,Pretty good overall although I expected a stronger roast. ngl I expected more. 🤔
169,Really enjoying Coffee X. Would recommend it to friends.
170,Very balanced flavour. Not bad at all tbh.
171,Too bitter for me. Would recommend it to friends.
172,The beans smell fantastic.
173,Worth every penny. 🤔
174,Works great with milk but black coffee isn't my favourite.
175,Taste is kinda weak. Would reccomend it to friends.
176,Worth every penny.
177,Works great with milk but black coffee isn't my favourite. 😍
178,Super smooth taste 😋
179,Way too expensive. Hope you keep the quality consistent.
180,Bit disappointed
181,Packaging could be better
182,Taste is nice but it's a bit pricey. Delivery was really fast. 😕
183,"Love the aroma, not a fan of the aftertaste. Not bad at all tbh. 😍"
184,Worth every penny. Hope you keep the quality consistent.
185,Bit disappointed. Would love a decaf version. ☕
186,My morning feels incomplete without it. Would love a decaf version.
187,Didn't enjoy the aftertaste. imo it's one of the better brands.
188,Best coffee I've had in a while. Please introduce more roast options.
189,Works great with milk but black coffee isn't my favourite. Customer service was gr8 too.
190,Way too expensive. ngl I expected more.
191,Really enjoying Coffee X. Not bad at all tbh. 😕
192,Expected better. Not bad at all tbh.
193,Yumm 😋 🤔
194,Really enjoying Coffee X. Hope you keep the quality consistent. 😅
195,Works great with milk but black coffee isn't my favourite. Not bad at all tbh. 😍
196,Didn't enjoy the aftertaste 😋
197,Amazing aroma. Delivery was rly fast. 😅
198,Best coffee I've had in a while.
199,Taste is kinda weak. Hope you keep the quality consistent. ❤️
200,Wouldn't buy again. ❤️
201,Works great with milk but black coffee isn't my favourite. 😅
202,Worth every penny. Delivery was realy fast. ❤️
203,Packaging looks premium but freshness could improve. Not bad at all tbh. 👎
204,"Love the aroma, not a fan of the aftertaste. 🤔"
205,Best cofee I've had in a while. 👍
206,Way too expensive. Hope you keep the quality consistent. 😊
207,"Love the aroma, not a fan of the aftertaste. Hope you keep the quality consistent."
208,Love this coffee 😕
209,My morning feels incomplete without it.
210,Super smooth taste
211,Very balanced flavour. Would love a decaf version. 🤔
212,cofee arrived stale. imo it's one of the better brands.
213,Amazing 😍 😋
214,Super smooth taste. Would love a decaf version. 👍
215,"Love the aroma, not a fan of the aftertaste. Hope you keep the qualty consistent. 😋"
216,Expected better. imo it's one of the better brands.
217,Works gr8 with milk but black coffee isn't my favourite. Customer service was great too.
218,Super smooth taste. Please introduce more roast options. 😕
219,I'll definately buy again ❤️
220,Coffee arrived stale. Would love a decaf version.
221,Best coffee I've had in a while. Customer service was great too.
222,Packaging looks premium but freshness could improve. Customer service was great too.
223,Amazing aroma. Delivery was really fast. 😅
224,Super smooth taste. Hope you keep the quality consistent. 😋
225,I'll definitely buy again. Customer service was great too. 😊
226,Very balanced flavour
227,Didn't enjoy the aftertaste.
228,Expected better. I drink it every morning. 😊
229,Taste is kinda weak. 😅
230,Packaging could be better. Hope you keep the quality consistent.
231,Really enjoying Coffee X. Please introduce more roast options.
232,Too bitter for me. imo it's one of the better brands.
233,Best cofee I've had in a while. Customer service was gr8 too.
234,Wouldn't buy again. Not bad at all tbh.
235,Super smooth taste. Would recommend it to friends.
236,I'll definetly buy again
237,The beans smell fantastic. Delivery was really fast. 👎
238,Pretty good!
239,Taste is nice but it's a bit pricey. Not bad at all tbh. 😕
240,Amazing aroma. ngl I expected more.
241,Packaging could be better. imo it's one of the better brands.
242,Not as fresh as expected. imo it's one of the better brands.
243,Very balanced flavour. Would love a decaf version. ❤️
244,Amazing aroma
245,Pretty good overall although I expected a stronger roast. Not bad at all tbh.
246,I'll definitely buy again. Would recommend it to friends.
247,Could be better. 😍
248,I'll definitely buy again.
249,"Love the aroma, not a fan of the aftertaste. 😕"
250,Super smooth taste 😍
