id,gender,age,brand,feedback
120,female,65+,B,Amazing 😍 ❤️
121,male,45-64,B,Taste is nice but it's a bit pricey. 👌
122,female,25-44,A,Amazing aroma 🤔
123,female,65+,A,Amazing 😍 😕
124,female,65+,B,Expected better. 🤔
125,male,18-24,B,The beans smell fantastic. Would reccomend it to friends. ☕
126,female,65+,B,Works gr8 with milk but black coffee isn't my favourite. 👍
127,male,65+,B,Taste is kinda weak. Customer service was great too. 🤔
128,female,25-44,A,Taste is nice but it's a bit pricey. 👍
129,female,45-64,A,Really enjoying Coffee X. Not bad at all tbh. 😅
130,female,65+,B,Didn't enjoy the aftertaste. Customer service was great too.
131,female,65+,A,Taste is nice but it's a bit pricey. Would recommend it to friends. 😍
132,male,18-24,B,Bit disappointed. Hope you keep the quality consistent. 👍
133,female,18-24,B,Expected better. Customer service was great too. 😅
134,male,65+,A,Best cofee I've had in a while 😕
135,male,65+,A,Packaging looks premium but freshness could improve. Would love a decaf version. 👌
136,female,65+,B,Didn't enjoy the aftertaste. Please introduce more roast options. 😋
137,female,65+,B,"Love the aroma, not a fan of the aftertaste. Please introduce more roast options. 😅"
138,female,45-64,A,Not as fesh as expected. Not bad at all tbh. ❤️
139,male,25-44,B,realy enjoying Coffee X. Please introduce more roast options.
140,female,65+,B,"Love the aroma, not a fan of the aftertaste. Would love a decaf version. 😋"
141,female,18-24,B,I'll definitely buy again 😅
142,male,65+,B,Really enjoying coffe X. Would recommend it to friends.
143,male,45-64,A,Expected better. ❤️
144,female,25-44,A,Best coffee I've had in a while. Customer service was great too.
145,female,18-24,A,Very balanced flavour 😋
146,female,25-44,A,I'll definitely buy again ❤️
147,female,65+,B,Too bitter for me. Not bad at all tbh. 😕
148,female,65+,A,Really enjoying Coffee X. Delivery was really fast. 😍
149,male,18-24,B,Coffee arrived stale. I drink it every morning.
150,male,25-44,B,Best cofee I've had in a while. Delivery was really fast. 👍
151,female,25-44,A,Worth every penny. ngl I expected more. 😕
152,female,18-24,B,Bit disappointed. Would recommend it to friends. 👎
153,male,65+,B,Love this cofee Please introduce more roast options.
154,female,45-64,A,Love this coffee 😊
155,male,25-44,A,Best cofee I've had in a while. Customer service was gr8 too.
156,male,25-44,B,Packaging could be better. Hope you keep the qualty consistent. 😊
157,male,18-24,B,Wouldn't buy again. ngl I expected more. ☕
158,male,65+,B,Works gr8 with milk but black coffee isn't my favourite. I drink it every morning.
159,female,25-44,B,Taste is nice but it's a bit pricey. Would love a decaf version. ☕
160,male,45-64,B,Pretty good overall although I expected a stronger roast. Would recommend it to friends. 🤔
161,female,45-64,A,Too expensive 😕 👍
162,male,65+,B,Taste is kinda weak 👍
163,female,65+,A,Taste is nice but it's a bit pricey. 👎
164,male,65+,A,Pretty good overall although I expected a stronger roast. Please introduce more roast options. 😅
165,male,65+,B,Too expensive 😕 😊
166,female,18-24,A,I'll definitely buy again. Not bad at all tbh.
167,female,18-24,A,Too bitter for me. ngl I expected more. 😅
168,male,65+,A,Coffee arrived stale. Would love a decaf version. 😊
169,female,18-24,B,Worth every penny. I drink it every morning.
170,female,45-64,B,Really enjoying coffe X
171,female,18-24,A,Expected better. imo it's one of the better brands. 😋
172,female,25-44,A,Packaging looks premium but freshness could improve. imo it's one of the better brands.
173,male,45-64,A,Amazing 😍 🤔
174,female,65+,B,The beans smell fantastic. 😕
175,male,45-64,A,The beans smell fantastic. ngl I expected more. 😋
176,female,25-44,A,Best coffee I've had in a while. Customer service was great too. 👎
177,male,65+,A,Not as fresh as expected. 😅
178,male,65+,A,Amazing aroma. Hope you keep the quality consistent. ❤️
179,male,18-24,B,Really enjoying Coffee X. ngl I expected more. 👌
180,male,25-44,B,Worth every penny. I drink it every morning. ☕
181,male,18-24,A,Packaging could be better. Delivery was rly fast.
182,male,65+,B,Really enjoying Coffee X. Not bad at all tbh. 😕
183,female,18-24,A,Bit disappointed. Please introduce more roast options. 👌
184,male,45-64,B,Expected better. Not bad at all tbh. ❤️
185,male,65+,B,Works great with milk but black coffee isn't my favourite. Would recommend it to friends.
186,female,45-64,A,Best coffee I've had in a while. Please introduce more roast options.
187,female,25-44,A,Expected better. Please introduce more roast options. 😍
188,male,65+,A,Wouldn't buy again. Would love a decaf version.
189,female,18-24,A,Amazing 😍 👌
190,female,45-64,B,"Love the aroma, not a fan of the aftertaste."
191,male,18-24,B,Too bitter for me. Not bad at all tbh. 👌
192,female,45-64,B,Worth every penny. Customer service was great too. 😅
193,female,25-44,A,The beans smell fantastic. 👍
194,female,25-44,B,"Love the aroma, not a fan of the aftertaste. Please introduce more roast options. 😕"
195,female,18-24,B,Really enjoying Coffee X. 😅
196,female,18-24,B,Bit disappointed. imo it's one of the better brands.
197,male,45-64,B,Worth every penny. Please introduce more roast options.
198,female,45-64,B,"Love the aroma, not a fan of the aftertaste. ngl I expected more. 👎"
199,male,45-64,A,Pretty good overall although I expected a stronger roast. Delivery was rly fast. 😊
200,female,65+,B,Super smooth taste. Delivery was really fast. 😋
201,female,18-24,B,My morning feels incomplete without it 😍
202,female,25-44,B,Taste is nice but it's a bit pricey. Delivery was really fast. 😕
203,female,45-64,B,Really enjoying Coffee X. Please introduce more roast options.
204,female,65+,A,Not as fresh as expected. Not bad at all tbh.
205,male,45-64,A,Amazing 😍
206,female,65+,A,10/10 ❤️ 👌
207,female,18-24,A,Way too expensive. Customer service was great too. 👎
208,male,18-24,B,Taste is kinda weak. Would love a decaf version. 😕
209,female,18-24,B,I'll definitely buy again. ngl I expected more. 😕
210,male,25-44,B,Not bad. 😍
211,female,25-44,A,The beans smell fantastic. 🤔
212,male,25-44,A,It's okay. 👌
213,female,18-24,A,Pretty good overall although I expected a stronger roast. Not bad at all tbh. ☕
214,female,65+,B,Wouldn't buy again. Not bad at all tbh.
215,male,45-64,B,Bit disappointed. imo it's one of the better brands. 👍
216,female,45-64,A,The beans smell fantastic
217,male,25-44,B,Best cofee I've had in a while. I drink it every morning.
218,female,45-64,A,Works great with milk but black cofee isn't my favourite. imo it's one of the better brands.
219,female,18-24,A,Didn't enjoy the aftertaste. Would recommend it to friends. 👍
220,male,25-44,A,Best cofee I've had in a while. Not bad at all tbh.
221,male,65+,A,Love this cofee 👍
222,male,18-24,B,Very balanced flavour. Not bad at all tbh. 😍
223,male,45-64,B,Coffee arrived stale
224,female,25-44,B,Super smooth taste. I drink it every morning. 👎
225,male,65+,B,Best coffe I've had in a while. 🤔
226,male,45-64,A,I'll definitely buy again. Would recommend it to friends. 👌
227,male,18-24,A,Love this coffee. Not bad at all tbh. 😍
228,female,65+,A,Too bitter for me. I drink it every morning. ❤️
229,female,65+,A,Love this coffee. Please introduce more roast options. 😅
230,male,45-64,A,I'll definitely buy again 👎
231,male,18-24,B,Yumm 😋 ☕
232,female,65+,B,Best cofee I've had in a while. 👍
233,female,25-44,B,Too bitter for me. Customer service was great too.
234,male,25-44,A,Bit disappointed. I drink it every morning. 😋
235,male,25-44,A,Really enjoying Coffee X. Please introduce more roast options. 🤔
236,male,65+,A,Super smooth taste. Delivery was really fast. ☕
237,female,65+,B,Way too expensive. Not bad at all tbh.
238,male,45-64,A,Expected better. 😕
239,male,65+,B,Really enjoying cofee X 😍
240,female,25-44,A,Best coffee I've had in a while. I drink it every morning. 👎
241,female,18-24,A,Expected better
242,female,25-44,A,10/10 ❤️ 😕
243,male,65+,B,Love it ☕
244,female,25-44,B,The beans smell fantastic. Customer service was great too. 👎
245,female,65+,B,Really enjoying Coffee X. Hope you keep the qualty consistent. 🤔
246,female,25-44,B,Wouldn't buy again. imo it's one of the better brands.
247,male,25-44,A,Works gr8 with milk but black coffee isn't my favourite. Customer service was gr8 too.
248,female,45-64,B,Amazing aroma. Delivery was really fast. ☕
249,female,45-64,A,I'll definitely buy again. Please introduce more roast options. 😕
250,female,65+,A,Taste is nice but it's a bit pricey. Would recommend it to friends. ☕
251,male,18-24,B,I'll definitely buy again. 😊
252,female,18-24,B,I'll definately buy again. Customer service was great too.
253,female,65+,B,The beans smell fantastic. I drink it every morning. 😕
254,male,25-44,B,Too bitter for me ☕
255,female,18-24,A,Amazing aroma. imo it's one of the better brands. ❤️
256,female,18-24,B,Taste is nice but it's a bit pricey. Would recommend it to friends. 😊
257,female,25-44,A,Taste is kinda weak 😍
258,female,45-64,A,Not as fresh as expected. ngl I expected more. ❤️
259,female,45-64,A,My morning feels incomplete without it. I drink it every morning.
260,male,45-64,A,I'll definitely buy again. Delivery was really fast.
261,female,65+,A,Very balanced flavour. Delivery was really fast.
262,male,45-64,B,I'll definetly buy again.
263,male,25-44,A,Best coffee I've had in a while. imo it's one of the better brands. 😅
264,female,45-64,B,Way too expensive. 🤔
265,female,25-44,A,Didn't enjoy the aftertaste. 😋
266,male,65+,A,Worth every penny. Delivery was really fast. 👌
267,male,45-64,B,Love this coffee. ngl I expected more. 🤔
268,female,65+,B,Super smooth taste. 😅
269,male,25-44,A,Very balanced flavour. Hope you keep the quality consistent.
270,female,45-64,B,Very balanced flavour. 😍
271,male,45-64,A,Works great with milk but black coffee isn't my favourite. Delivery was really fast. 😋
272,female,25-44,A,Best coffee I've had in a while. Not bad at all tbh. ☕
273,male,65+,A,Love this coffe Would recomend it to friends.
274,male,18-24,A,"Love the aroma, not a fan of the aftertaste. I drink it every morning."
275,male,18-24,B,realy enjoying Coffee X. Would recommend it to friends. 😊
276,female,18-24,A,Taste is nice but it's a bit pricey. Would recommend it to friends. 🤔
277,male,18-24,B,I'll definitely buy again. I drink it every morning. ☕
278,male,25-44,A,Worth every penny. Not bad at all tbh. 😅
279,male,25-44,A,Packaging could be better. Not bad at all tbh. 🤔
280,male,45-64,A,Amazing 😍 😋
281,male,65+,A,Could be better. 👎
282,male,65+,B,Best coffee I've had in a while. Please introduce more roast options. ☕
283,male,18-24,B,Bit disappointed. Would love a decaf version.
284,male,45-64,A,Worth every penny. I drink it every morning. 😕
285,female,18-24,A,Pretty good overall although I expected a stronger roast. Hope you keep the quality consistent. 😅
286,female,18-24,B,Taste is nice but it's a bit pricey. 😅
287,male,45-64,B,Coffee arrived stale. Customer service was great too. ☕
288,male,65+,A,It's okay. 😊
289,male,18-24,B,Best coffee I've had in a while. Please introduce more roast options. 👍
290,female,25-44,B,Worth every penny
291,female,25-44,A,Packaging looks premium but freshness could improve. Hope you keep the quality consistent. ❤️
292,male,25-44,B,The beans smell fantastic. imo it's one of the better brands. 👎
293,female,45-64,B,I'll definitely buy again. 😕
294,female,45-64,A,Wouldn't buy again. Not bad at all tbh. ❤️
295,female,25-44,A,I'll definitely buy again ☕
296,female,65+,B,Love it ☕ 😕
297,female,65+,B,Taste is kinda weak. Would recommend it to friends. 👍
298,female,18-24,A,Meh. ❤️
299,female,65+,B,My morning feels incomplete without it. Would recommend it to friends. 👌
300,female,25-44,B,Expected better. Delivery was really fast. 😋
301,female,65+,B,Really enjoying coffe X. ngl I expected more.
302,male,18-24,A,Amazing aroma. 😍
303,female,65+,A,Too bitter for me. Hope you keep the quality consistent. ☕
304,female,25-44,A,Pretty good overall although I expected a stronger roast.
305,female,65+,B,Amazing aroma. Delivery was realy fast.
306,female,25-44,B,Love this coffee. imo it's one of the better brands. 🤔
307,female,65+,A,Really enjoying Coffee X. imo it's one of the better brands. ☕
308,male,65+,A,Super smooth taste. imo it's one of the better brands. 😕
309,male,18-24,B,Bit disappointed. Would recommend it to friends. 😕
310,female,25-44,B,Best coffee I've had in a while ☕
311,male,45-64,A,The beans smell fantastic. I drink it every morning. 👍
312,male,25-44,B,realy enjoying Coffee X. 👌
313,male,18-24,B,Not as fesh as expected 😋
314,female,18-24,A,Taste is kinda weak. ❤️
315,female,45-64,A,The beans smell fantastic. Customer service was gr8 too.
316,male,25-44,B,I'll definitely buy again. Please introduce more roast options. ❤️
317,female,45-64,A,My morning feels incomplete without it. imo it's one of the better brands.
318,male,18-24,B,Best coffee I've had in a while. 😊
319,female,45-64,B,My morning feels incomplete without it. imo it's one of the better brands. 🤔
320,male,45-64,A,Not as fresh as expected. ngl I expected more. 😍
321,female,18-24,B,"Love the aroma, not a fan of the aftertaste. Customer service was great too. 😋"
322,female,65+,B,Best coffee I've had in a while. Would recommend it to friends.
323,male,65+,A,Taste is kinda weak. ngl I expected more. 😅
324,male,18-24,B,Best coffee I've had in a while. Would love a decaf version. 👌
325,female,65+,A,Works great with milk but black coffee isn't my favourite. I drink it every morning.
326,male,25-44,A,Too bitter for me. Please introduce more roast options. ❤️
327,male,18-24,B,Pretty good!
328,male,65+,B,Really enjoying cofee X.
329,male,18-24,A,Pretty good! 👎
330,female,25-44,B,Bit disappointed. Delivery was really fast. 👎
331,male,25-44,B,Pretty good overall although I expected a stronger roast. Not bad at all tbh. 🤔
332,female,45-64,A,Could be better. 🤔
333,male,25-44,A,Pretty good overall although I expected a stronger roast. Not bad at all tbh. 😋
334,female,65+,A,Really enjoying Coffee X. Customer service was great too.
335,male,45-64,A,Wouldn't buy again. ngl I expected more. 😍
336,male,18-24,A,Amazing aroma. Delivery was really fast.
337,female,45-64,B,Amazing aroma. 🤔
338,male,18-24,A,Way too expensive. 👌
339,female,18-24,B,Love this coffee. Please introduce more roast options. 😍
340,male,45-64,B,rly enjoying Coffee X. imo it's one of the better brands. 😋
341,female,25-44,B,Taste is kinda weak. Would recommend it to friends.
342,female,65+,A,Packaging could be better. Please introduce more roast options. 😕
343,male,45-64,A,Really enjoying Coffee X. 😋
344,male,18-24,A,Taste is kinda weak. 🤔
345,female,25-44,B,Wouldn't buy again. 😅
346,female,18-24,A,Didn't enjoy the aftertaste. imo it's one of the better brands. 👍
347,male,65+,A,Super smooth taste 😕
348,female,25-44,A,Best coffee I've had in a while. ngl I expected more.
349,female,18-24,B,Love this coffee. Would reccomend it to friends.
350,male,65+,A,"Love the aroma, not a fan of the aftertaste. Not bad at all tbh."
351,male,18-24,A,Bit disappointed. Not bad at all tbh.
352,female,25-44,B,Amazing 😍 👍
353,male,45-64,A,I'll definitely buy again. Would recommend it to friends.
354,male,18-24,A,Amazing aroma. ngl I expected more. 🤔
355,female,45-64,B,Works great with milk but black coffee isn't my favourite. 😋
356,female,65+,B,Taste is nice but it's a bit pricey. imo it's one of the better brands. 😊
357,male,65+,B,Love this coffee. Delivery was really fast. 😊
358,male,65+,A,Expected better. Not bad at all tbh.
359,female,45-64,B,Didn't enjoy the aftertaste. Not bad at all tbh. 🤔
360,female,18-24,B,My morning feels incomplete without it. Would recommend it to friends. 😊
361,male,65+,B,Worth every penny 😋
362,male,65+,B,Taste is kinda weak. imo it's one of the better brands. 🤔
363,male,65+,B,Taste is kinda weak ❤️
364,female,45-64,A,Taste is nice but it's a bit pricey. ngl I expected more.
365,male,18-24,A,Love it ☕ ☕
366,male,18-24,A,Best coffee I've had in a while. Would love a decaf version. 👎
367,female,45-64,B,Very balanced flavour. imo it's one of the better brands. 😅
368,male,45-64,B,Too bitter for me. Please introduce more roast options. 😕
369,female,45-64,B,Pretty good overall although I expected a stronger roast. ngl I expected more. ❤️
370,male,18-24,B,Very balanced flavour. Hope you keep the quality consistent. ❤️
371,male,45-64,B,Amazing aroma. Customer service was great too. 😍
372,female,25-44,B,Very balanced flavour. Not bad at all tbh.
373,male,65+,A,Love it ☕ 😋
374,female,65+,A,Not bad. 😊
375,female,18-24,B,The beans smell fantastic. Not bad at all tbh. 👎
376,male,25-44,A,Taste is kinda weak. Customer service was great too.
377,male,65+,A,Really enjoying Coffee X. Delivery was really fast.
378,female,65+,B,Packaging looks premium but freshness could improve. 😊
379,male,25-44,A,Expected better. Customer service was great too.
380,female,65+,B,Packaging looks premium but freshness could improve. Delivery was really fast.
381,male,18-24,A,Wouldn't buy again 🤔
382,male,65+,A,Coffee arrived stale. 👍
383,male,25-44,A,Packaging looks premium but freshness could improve. Please introduce more roast options. 👍
384,female,45-64,A,Works gr8 with milk but black coffe isn't my favourite. Would recommend it to friends.
385,female,18-24,B,Taste is nice but it's a bit pricey. ngl I expected more. ❤️
386,female,45-64,B,The beans smell fantastic. Hope you keep the qualty consistent.
387,male,25-44,B,I'll definitely buy again. Hope you keep the quality consistent. 😋
388,female,45-64,B,"Love the aroma, not a fan of the aftertaste. Customer service was great too. 😕"
389,female,18-24,A,Not as fresh as expected. Customer service was great too. 👎
390,male,18-24,B,Didn't enjoy the aftertaste. ngl I expected more.
391,male,45-64,B,Not bad. 😋
392,female,25-44,B,Taste is nice but it's a bit pricey. I drink it every morning.
393,female,45-64,B,Love this coffee. imo it's one of the better brands. 👌
394,male,65+,A,Taste is nice but it's a bit pricey. Delivery was really fast. 😋
395,male,65+,B,Taste is nice but it's a bit pricey. I drink it every morning. ❤️
396,male,45-64,B,Packaging could be better. ngl I expected more. ❤️
397,female,45-64,A,Works great with milk but black coffee isn't my favourite. 😍
398,female,18-24,A,Really enjoying Coffee X. Would love a decaf version. 😅
399,male,25-44,B,Too bitter for me. Customer service was great too. 👌
400,male,65+,A,Taste is kinda weak.
401,male,45-64,A,Really enjoying Coffee X. 😍
402,female,25-44,B,Way too expensive. Would love a decaf version. ❤️
403,female,18-24,A,Amazing aroma. Please introduce more roast options.
404,male,25-44,B,"Love the aroma, not a fan of the aftertaste. Would love a decaf version. 😅"
405,male,45-64,A,Worth every penny. Would recommend it to friends.
406,female,18-24,A,Bit disappointed. 😊
407,female,25-44,B,Very balanced flavour. Would love a decaf version. 🤔
408,male,18-24,B,Works great with milk but black cofee isn't my favourite. Not bad at all tbh.
409,male,45-64,B,Pretty good overall although I expected a stronger roast. Please introduce more roast options. 🤔
410,male,25-44,A,Really enjoying cofee X. imo it's one of the better brands. ❤️
411,female,18-24,A,Packaging could be better
412,male,25-44,B,Taste is nice but it's a bit pricey. Delivery was really fast.
413,female,25-44,B,Really enjoying Coffee X. I drink it every morning. 😅
414,female,65+,A,Way too expensive. Would love a decaf version. 😋
415,female,25-44,B,Really enjoying cofee X. 😊
416,male,45-64,A,Amazing aroma 👌
417,male,65+,B,Works great with milk but black coffee isn't my favourite. Not bad at all tbh. 😊
418,female,25-44,B,Pretty good overall although I expected a stronger roast. Not bad at all tbh.
419,female,18-24,A,cofee arrived stale. Would recommend it to friends.
420,female,45-64,A,Pretty good overall although I expected a stronger roast. Would love a decaf version.
421,female,18-24,A,Taste is kinda weak ☕
422,female,18-24,A,Coffee arrived stale. imo it's one of the better brands.
423,female,18-24,A,Packaging looks premium but freshness could improve. ngl I expected more. 😍
424,female,65+,B,Taste is kinda weak. 😅
425,male,45-64,A,Worth every penny. Would recommend it to friends. 🤔
426,female,18-24,B,Pretty good overall although I expected a stronger roast. ngl I expected more.
427,male,65+,A,My morning feels incomplete without it. 😅
428,female,25-44,A,Best coffee I've had in a while 😍
429,male,18-24,B,My morning feels incomplete without it. 👌
430,male,65+,A,Didn't enjoy the aftertaste. Would love a decaf version.
431,male,18-24,B,"Love the aroma, not a fan of the aftertaste. imo it's one of the better brands."
432,female,25-44,A,Pretty good! 😅
433,male,25-44,A,Too bitter for me. Customer service was great too. 😋
434,male,25-44,A,Love this coffee. ngl I expected more. 👌
435,male,18-24,A,Worth every penny.
436,female,25-44,B,Worth every penny ❤️
437,female,45-64,B,Worth every penny. 🤔
438,male,65+,B,I'll definitely buy again. Would love a decaf version.
439,male,65+,B,Works great with milk but black coffee isn't my favourite. Delivery was really fast. 😍
440,female,65+,B,Works great with milk but black coffee isn't my favourite. Delivery was really fast.
441,male,45-64,B,Best coffee I've had in a while. 👌
442,male,25-44,A,Packaging looks premium but freshness could improve. Hope you keep the quality consistent.
443,male,45-64,A,Packaging could be better ❤️
444,male,45-64,A,Taste is nice but it's a bit pricey. 😍
445,female,25-44,B,Packaging looks premium but freshness could improve. Customer service was great too. 😅
446,male,45-64,A,Love this coffee. Customer service was gr8 too. 😊
447,female,45-64,A,Bit disappointed. ❤️
448,female,65+,B,Pretty good overall although I expected a stronger roast. Delivery was really fast. 👎
449,female,25-44,B,Very balanced flavour. Would love a decaf version.
450,male,45-64,A,Very balanced flavour. Hope you keep the quality consistent. 👍
451,male,45-64,B,Bit disappointed. Hope you keep the quality consistent. 😕
452,female,25-44,B,Way too expensive. I drink it every morning.
453,male,45-64,B,Best coffe I've had in a while. Hope you keep the quality consistent.
454,female,18-24,B,Taste is nice but it's a bit pricey. 🤔
455,male,45-64,A,Didn't enjoy the aftertaste 😋
456,female,18-24,A,Love this coffee 👎
457,male,25-44,A,The beans smell fantastic. imo it's one of the better brands.
